,Price,Location,Bedrooms(s),Property Type
286,"₦ 11,000,000/year","Apo Gudu District, By Ceadercrest Hospital. Gude Apo Abuja",4,A Well Built Semi Detached Duplex + 1bq
287,"₦ 5,000,000/year","Wuse, Zone 1 Abuja. Zone 1 Wuse 1 Abuja",3,A Good Spacious Flat
288,"₦ 10,000,000/year",Jahi Abuja,3,Newly Built Flat
289,"₦ 20,000,000/year",Wuse2 District Abuja (the House Can Only Be Used For Office Purpose) Wuse 2 Abuja,4,A Very Good Terrace Duplex + 1bq
290,"₦ 15,000,000/year",Mabushi Mabushi Abuja,4,A Brand New 4bedroom Terrace Duplex + 1bq
291,"₦ 50,000,000/year",Wuse2 District Abuja Wuse 2 Abuja,4,Flat
292,"₦ 100,000,000/year",Guzape District Abuja Guzape Abuja,5,Detached Duplex
293,"₦ 25,000,000/year",Apo Legislative Quaters Abuja Apo Abuja,5,A Well Built Semi Detached Duplex
294,"₦ 12,000,000/year",After Coza Church ( Video Of The House Is Attached) Guzape Abuja,4,Apartment
295,"₦ 15,000,000/year","Diplomatic Zone, Katampe Extension ( Video Is Attached) Katampe Abuja",4,Terraced Duplex With 1 Bq
296,"₦ 20,000,000/year",Diplomatic Zone Katampe Extension Katampe Abuja,4,Newly Built Terrace Duplex With Bq
297,"₦ 13,000,000/year",Off Ademola Adetokunbo Crescent Wuse 2 Abuja,40,A Very Good 40sqms Of Shop Space
298,"₦ 6,000,000/year",Idu Karmo District ( Nizamiyel Hospital) Turkish Hospital. Idu Abuja,3,A Very Good Spacious 3bedroom Flat
299,"₦ 5,000,000/year",Inside An Estate. ( Video Of The Apartment Is Attached) Gaduwa Abuja,2,Flat
300,"₦ 3,500,000/year",Kado District Abuja Kado Abuja,1,Flat
301,"₦ 12,500,000/year",Garki 2 Abuja,6,Spacious 6 Units Of Flat
302,"₦ 10,000,000/year",Life Camp Abuja,3,Newly Built Terrace Duplex With Bq
303,"₦ 345,000,000",Opebi Ikeja Lagos,4,"Spacious 4 Bed Terrace With 2 Masters, 2 Parlours & Bq"
304,"₦ 25,000,000/year","Diplomatic Zone, Katampe Extension, Katampe Abuja",4,A New Semi Detached Duplex With 1 Bq
305,"₦ 20,000,000/year",Diplomatic Zone Katampe Abuja,4,Newly Built Detached Duplex With Bq
306,"₦ 13,000,000/year","Maitama2 District, Along Mpape Road ( Video Of The House Is Attached) Maitama Abuja",4,A Brand New Detached Duplex + 2bqs
307,"₦ 35,000,000/year","Diplomatic Zone, Katampe Extension Katampe Abuja",6,Spacious Semi Detached Duplex
308,"₦ 10,000,000/year",Wuye District Abuja ( Video Of The Apartment Is Available) Wuye Abuja,3,A Good Serviced Spacious Flat.
309,"₦ 25,000,000/year","Diplomatic Zone, Katampe Extension ( Video Is Available On Demand) Katampe Extension Katampe Abuja",5,A Newly Built Detached Duplex + 1bq
310,"₦ 25,000,000/year",Diplomatic Zone ( Katampe Extension Abuja) Katampe Extension Katampe Abuja,6,Apartment
311,"₦ 8,000,000/year",Off Gilmore Road ( Video Is Available) Jahi Abuja,3,A Very Good Spacious 3bedroom Flat
312,"₦ 18,000,000/year","Diplomatic Zone, Katampe Extension. Katampe Extension Katampe Abuja",4,Terraced Duplex
313,"₦ 15,000,000/year",Maitama Abuja,3,Spacious Flat
314,"₦ 6,500,000/year","Maitama District Abuja ( Video Of The Apartment Is Attached), Mabushi Abuja",2,Spacious Flat
315,"₦ 35,000,000/year",Diplomatic Zone ( Katampe Extension Abuja) Katampe Extension Katampe Abuja,5,Detached Duplex
316,"₦ 25,000,000/year",Diplomatic Zone Katampe Extension Katampe Abuja,4,Newly Built Terrace Duplex With Bq
317,"₦ 8,000,000/year",Karsana Gwarinpa Abuja,3,Newly Built Terraced Duplex
318,"₦ 12,000,000/year",Jahi Abuja,2,Serviced Flat
319,"₦ 25,000,000/year",Wuye Abuja,4,Newly Built Detached Duplex With Bq
320,"₦ 8,000,000/year",Kaura District After Games Village. Kaura (games Village) Abuja,3,A Brand New Flat With 1 Bq
321,"₦ 10,000,000/year",Mabushi District Abuja ( Video Of The House Is Attached) Mabushi Abuja,4,Spacious Semi Detached Duplex
322,"₦ 30,000,000/year",Maitama District Abuja ( Video Of The House Is Attached) Maitama Abuja,4,A New 4bedroom Terrace Duplex + 1bq
323,"₦ 15,000,000/year",Utako District ( It Can Be Used For Shortlet Apartment) Utako Abuja,3,A Good Serviced & Furnished 3bedroom Flat + 1bq
324,"₦ 5,000,000/year",Dr Adewale Oshin Lekki Phase 1 Lekki Lagos,1,Apartment
325,"₦ 25,000,000/year",Maitama District Abuja Maitama Abuja,4,Terraced Duplex
326,"₦ 12,000,000/year",Wuye District Abuja ( Video Of The Apartment Is Attached) Wuye Abuja,2,Flat
327,"₦ 8,000,000/year",Wuse 2 Abuja,2,Flat
328,"₦ 8,000,000",Maitama Main Maitama Abuja,2,Flat In A Serene Environment||maitama
329,"₦ 7,000,000",Close To Nizamiye Hospital Idu Abuja,,Luxury Three Bedroom Apartment
330,"₦ 2,600,000/year",In An Estate After Living Faith Behind Amac Market Lugbe Abuja,2,Spacious Apartment
331,"₦ 4,000,000/year",Gwarinpa Main Gwarinpa Abuja,1,Furnished Apartment
332,"₦ 5,000,000/year",Before River Park Estate Lugbe Abuja,3,Sharp Standalone Bungalow || Lugbe
333,"₦ 130,000/sqm",Area 11 Garki 1 Abuja,60,"60sqm, 120sqm, 300sqm Office Space || Garki"
334,"₦ 15,000,000/year",Ademola Adetokunbo Crescent Wuse 2 Abuja,70,70sqm Shop Space || Wuse 2
335,"₦ 18,000,000",Ecobank Axis Jabi Abuja,3,Furnished Apartment
336,"₦ 7,500,000/year",By Shop Rite Jabi Abuja,1,Flat
337,"₦ 3,000,000/year",Lokogoma Junction Gaduwa Abuja,1,Apartment
338,"₦ 20,000,000/year",Utako Abuja,,House
339,"₦ 35,000,000/year",Gwarinpa Abuja,4,Detached Duplex With Bq
340,"₦ 14,000,000/year",Close To National Assembly Quarters Apo Abuja,5,Detached Duplex
341,"₦ 7,000,000/year",Close To Stella Maris Life Camp Abuja,3,Flat With Bq
342,"₦ 9,500,000/year",Mabushi Abuja,3,Flat With Bq
343,"₦ 1,600,000/year",Gwarinpa Abuja,,Room Self Contained
344,"₦ 15,000,000/year",Guzape Guzape Abuja,4,Terrace Duplex
345,"₦ 3,500,000,000",Ikoyi Lagos,5,Fully Detached Duplex
346,"₦ 7,000,000/year",In An Estate In Mbora Mbora (nbora) Abuja,3,Newly Built Flat
347,"₦ 12,000,000/year",Zone E Apo Legislative Quarters Apo Abuja,4,Duplex
348,"₦ 8,000,000/year",Wuse2 Wuse 2 Abuja,,Strategically Located Shop/office Space
349,"₦ 2,000,000/year",Gwarinpa Extension Gwarinpa Abuja,1,Apartment
350,"₦ 25,000,000/year",Guzape Guzape Abuja,5,Semi Detached Duplex
351,"₦ 15,000,000/year",Guzape Abuja,5,Terrace Duplex With Bq
352,"₦ 1,500,000/year",Gwarinpa Abuja,,Room Self Contained
353,"₦ 1,600,000/year",Gwarinpa Gwarinpa Abuja,,Newly Renovated Self Contain
354,"₦ 6,000,000/year",Maitama Abuja,1,Newly Built Flat
355,"₦ 12,500,000/year",Wuse 2 Abuja,3,Flat
356,"₦ 15,000,000/year",Presidential Villa Asokoro Abuja,2,Newly Built Terrace Duplex
357,"₦ 1,300,000/year",Gwarinpa Gwarinpa Abuja,,Beautiful Self Contain
358,"₦ 1,500,000/year",Gwarinpa Gwarinpa Abuja,,Room Self Contain
359,"₦ 4,000,000/year",Wuse 2 Abuja,1,Flat
360,"₦ 2,000,000/year",In An Estate In Mbora Mbora (nbora) Abuja,,Well Built Shop
361,"₦ 12,000,000/year",Wuse 2 Abuja,3,Flat With Bq
362,"₦ 12,000,000/year",Guzape Abuja,3,Newly Built Flat
363,"₦ 10,000,000/year",Asokoro Abuja,3,Spacious Flat
364,"₦ 6,000,000/year",Katampe Main By Nicon Katampe Main Abuja,2,Newly Built Flat+bq
365,"₦ 2,500,000/year",Gwarinpa Gwarinpa Abuja,1,Flat
366,"₦ 680,000,000",Alausa Ikeja Lagos,18,Fully Functioning 18 Rooms Hotel
367,"₦ 9,500,000/year",Maitama Maitama Abuja,2,Bungalow
368,"₦ 12,500,000/year",Maitama Maitama Abuja,3,Well Finished Flat
369,"₦ 35,000,000/year",Maitama Maitama Abuja,4,Detached Duplex
370,"₦ 2,300,000/year",Garki2 Garki 2 Abuja,,Standard Self Contain
371,"₦ 1,200,000/year",Gwarinpa Abuja,,Room Self Contained
372,"₦ 1,500,000/year",Gwarinpa Gwarinpa Abuja,,Spacious Self Contain
373,"₦ 1,500,000/year",Wuse 1 Abuja,,Room Self Contained
374,"₦ 150,000,000/year",Aso Drive Asokoro Abuja,5,Detached Duplex+bq
375,"₦ 1,000,000/year",Gwarinpa Gwarinpa Abuja,,Room Self Contain
376,"₦ 9,000,000/year",Fha Guzape Abuja,3,Newly Built Flat
377,"₦ 7,000,000/year",Guzape Abuja,2,Standard Flat
378,"₦ 4,000,000/year",Wuye Wuye Abuja,1,Flat
379,"₦ 8,000,000/year",Katampe Main By Nicon Katampe Main Abuja,3,Luxury Flat+bq
380,"₦ 15,000,000/year","Proximity To Stella Maris, Life Camp Abuja",4,Luxury Finished Terraced Duplex With Bq
381,"₦ 20,000,000/year",Guzape Abuja,5,Terrace Duplex With Bq
382,"₦ 30,000,000/year",Guzape Abuja,5,Semi Detached Duplex
383,"₦ 30,000,000/year",Maitama Abuja,4,Terrace Duplex+bq
384,"₦ 18,000,000/year",Guzape Guzape Abuja,4,Terrace +bq
385,"₦ 12,000,000/year",Guzape Abuja,4,Terraced Duplex With Bq
386,"₦ 5,000,000/year",Asokoro Abuja,1,Spacious Flat
387,"₦ 135,000,000/sqm",Carlton Gate Estate Akobo Ibadan Oyo,4,A Unit Of Fully Detached Duplex
388,"₦ 12,000,000/year",Guzape Abuja,4,Terrace Duplex
389,"₦ 15,000,000/year",Mabushi Abuja,4,Terrace Duplex With Bq
390,"₦ 15,000,000/year",Guzape Guzape Abuja,3,Newly Built Flat With A Bq
391,"₦ 1,500,000/year",Gwarinpa Extension Gwarinpa Abuja,,Spacious Self Contain
392,"₦ 4,000,000/year",Close To Prince And Princess Kaura Kaura (games Village) Abuja,2,Newly Built Flat
393,"₦ 10,000,000/year",Navy Estate Asokoro Abuja,2,Flat
394,"₦ 5,000,000/year",Before Paradise Estate Lifecamp Life Camp Abuja,2,Standard Flat
395,"₦ 2,500,000/year",Wuse 2 Abuja,,Office Space
396,"₦ 15,000,000/year",Maitama Maitama Abuja,3,Magnificent Flat
397,"₦ 7,000,000/year",Katampe Main Katampe Abuja,2,Newly Built Flat
398,"₦ 4,500,000/year",Wuse Zone 5 Wuse 1 Abuja,,Shop/office Space
399,"₦ 3,960,000/year",Wuse 2 Wuse 2 Abuja,,Office Space
400,"₦ 15,000,000/year",Guzape Guzape Abuja,4,Newly Built Terrace Duplex+bq
401,"₦ 8,000,000/year",Jahi Jahi Abuja,3,Newly Built Flat
402,"₦ 2,500,000/year",Asokoro Abuja,,Spacious Room Self Contained
403,"₦ 6,500,000/year",Naf Valley Estate Asokoro Asokoro Abuja,1,Newly Finished Flat
404,"₦ 7,000,000/year",Guzape Abuja,2,Flat
405,"₦ 8,000,000/year",Mabushi Mabushi Abuja,3,Newly Built Flat
406,"₦ 4,500,000/year",Wuye Wuye Abuja,1,Flat
407,"₦ 20,000,000/year",Gwarinpa Gwarinpa Abuja,4,Newly Built Terrace Duplex+bq
408,"₦ 265,000,000",Adeniyi Jones Ikeja Lagos,3,3 Bed Apartment With Pool & Gym
409,"₦ 7,000,000/year",Wuse2 Wuse 2 Abuja,,Strategically Located Shop/office Space
410,"₦ 7,000,000/year",Maitama Maitama Abuja,2,Flat
411,"₦ 1,200,000/year",Gwarinpa Gwarinpa Abuja,,Self Contain
412,"₦ 30,000,000/year",Asokoro Extension Asokoro Abuja,6,Detached Duplex+bq
413,"₦ 1,500,000/year",Gwarinpa Gwarinpa Abuja,,Spacious Self Contain
414,"₦ 3,000,000/year","Scc Road Ushafa, Ushafa Abuja",2,Newly Built Flat
415,"₦ 70,000,000/year",Asokoro Abuja,9,Magnificent Duplex
416,"₦ 2,500,000/year",Gwarinpa Abuja,1,Flat
417,"₦ 3,500,000/year",News Engineering Dawaki Abuja,1,Spacious Flat
418,"₦ 5,000,000/year",Guzape Guzape Abuja,,Shop/office Space
419,"₦ 15,000,000/year",Guzape Abuja,4,Terrace Duplex With Bq
420,"₦ 10,000,000/year",Guzape Guzape Abuja,5,Terrace Duplex
421,"₦ 15,000,000/year",In An Estate In Mbora Mbora (nbora) Abuja,4,Newly Built Detached Duplex
422,"₦ 8,000,000/year",Lifecamp Life Camp Abuja,4,Msgnificent Duplex
423,"₦ 2,500,000/year",Wuse Zone6 Wuse 1 Abuja,1,Beautiful Flat
424,"₦ 8,000,000/year",Guzape Guzape Abuja,3,Spacious Flat
425,"₦ 4,000,000/year",Fo1 Kubwa Abuja,3,Newly Built Flat
426,"₦ 1,500,000/year",Mabglobal Estate Gwarinpa Extension Gwarinpa Abuja,,Spacious Self Contain
427,"₦ 8,500,000/year",Mabushi Mabushi Abuja,3,Flat
428,"₦ 1,300,000/year",Gwarinpa Abuja,,Room Self Contained
429,"₦ 9,000,000",Orchid Lekki Lagos,4,Newly Built Terrace Duplex + Bq
430,"₦ 1,500,000/year",Gwarinpa Abuja,,Standard Self Contained
431,"₦ 1,500,000/year",Gwarinpa Gwarinpa Abuja,,Newly Renovated Self Contain
432,"₦ 6,000,000/year","After Berger Clinic, Life Camp Abuja",2,Beautiful Flat
433,"₦ 1,700,000/year",Gwarinpa Gwarinpa Abuja,,Newly Renovated Self Contain
434,"₦ 100,000,000/year",Asokoro Main Asokoro Abuja,7,Detached Duplex
435,"₦ 1,300,000/year","Efab Metropolis Gwarinpa Extension, Gwarinpa Abuja",,A Room Self Contained
436,"₦ 30,000,000/year",Legislative's Quarter Apo Abuja,5,Semi Detached Duplex
437,"₦ 7,000,000/year",Maitama Abuja,2,Self Serviced 2bedroom Flat
438,"₦ 25,000,000/year",Maitama Abuja,4,Serviced Detached Duplex With Bq
439,"₦ 30,000,000/year",Katampe Main Abuja,4,Furnished Terrace Duplex With Bq
440,"₦ 8,000,000/year",Gilmore Jahi Abuja,3,Serviced & Spacious 3bedroom Flat
441,"₦ 5,000,000/year",Aso Radio Katampe Main Abuja,3,Flat
442,"₦ 20,000,000/year",Katampe Extension Katampe Abuja,5,Detached Duplex
443,"₦ 7,000,000/year",Durumi Abuja,3,Serviced 3bedroom Flat (upstairs)
444,"₦ 19,000,000/year",Maitama Abuja,3,Serviced & Spacious 3bedroom Flat (quiet Environment)
445,"₦ 250,000/sqm",Wuse 2 Abuja,198,Newly Built Office Building Measuring 198sqm
446,"₦ 15,000,000/year",Life Camp Abuja,4,Terrace Duplex
447,"₦ 17,000,000/year",Guzape Abuja,4,Terrace Duplex With Bq
448,"₦ 15,000,000/year","Jabi District By Lake, Jabi Abuja",2,Furnished Flat
449,"₦ 6,500,000",6th Gwarinpa Gwarinpa Abuja,3,s Bungalow
450,"₦ 220,000/day",Oniru Palace Estate Oniru Victoria Island Lagos,2,Executive Suite
451,"₦ 3,800,000",Durumi By Stella Marris Durumi Abuja,2,s Flat
452,"₦ 1,300,000",Opposite Gwarinpa Dawaki Abuja,,Self Contained
453,"₦ 15,000,000",Mabushi Mabushi Abuja,4,New s Terrace Duplex With Bq
454,"₦ 2,500,000/year",Ushafa Abuja,2,Newly Built Flat
455,"₦ 20,000,000/year",Gwarinpa Abuja,5,Newly Built Fully Detached Duplex With Pool
456,"₦ 19,000,000",Maitama Main Maitama Abuja,3,3bedroom Flat To Let In Maitama
457,"₦ 40,000,000/year",Wuse 2 Wuse 2 Abuja,3,Flat To Let In Wuse 2
458,"₦ 6,000,000/year",Behind Suncity Estate Galadimawa Abuja,3,New Flat
459,"₦ 20,000,000/year",Maitama Maitama Abuja,2,Furnished & Serviced Flat To Let In Maitama
460,"₦ 8,000,000/year",Overlooking Suncity Estate Kaura (games Village) Abuja,3,Flat To Let In Kaura
461,"₦ 800,000/year",1st Transformer Dogongada Behind Efab Estate Lokogoma Abuja,,New Self Contained Room To Let In Dogongada
462,"₦ 9,000,000",American International School Durumi Abuja,3,New 3bedroom Flat To Let In Durumi
463,"₦ 25,000,000/year",Off Alvan Ikeokwu Maitama Abuja,6,6 Units Of Duplex To Let In Maitama
464,"₦ 8,000,000",Vio Mabushi Abuja,3,3bedroom Flat To Let In Mabushi
465,"₦ 7,000,000/year",In An Estate Close To Godab Lifecamp Life Camp Abuja,4,Well Finished Semi Detached Duplex
466,"₦ 4,500,000/year",In An Estate Lifecamp Life Camp Abuja,2,Flat
467,"₦ 6,000,000/year",Before Paradise Estate 1 Estate Life Camp Abuja,2,Furnished Flat
468,"₦ 15,000,000/year",By Catholic Church Life Camp Abuja,4,Terrace Duplex With Bq
469,"₦ 5,000,000/year",Jahi By Aduvie Jahi Abuja,2,Newly Built Flat
470,"₦ 18,000,000/year",In An Estate Lifecamp Life Camp Abuja,4,Newly Built Terraced Duplex With Bq
471,"₦ 1,900,000,000",Ikeja Gra Ikeja Lagos,5,5bed+ Bq..
472,"₦ 6,500,000/year","Gwarinpa Extension, Gwarinpa Abuja",3,Newly Built Terrace Duplex
473,"₦ 4,000,000/year",Kubwa Abuja Kubwa Abuja,2,Newly Built Duplex
474,"₦ 7,000,000/year",In An Estate Close To Godab Lifecamp Life Camp Abuja,4,Semi Detached Duplex
475,"₦ 6,000,000/year",Whyte Scape Apartment Lifecamp Life Camp Abuja,3,Newly Built Flat
476,"₦ 3,500,000/year",Mab Global Estate Idu Idu Abuja,2,Flat
477,"₦ 3,500,000/year",In An Estate Karsana North Karsana Abuja,2,Newly Built Flat
478,"₦ 1,900,000/year",Festrut Estate Katampe Main Katampe Abuja,,Room Self Contained
479,"₦ 25,000,000/year",Wuse 2 Abuja Wuse 2 Abuja,4,Terrace Duplex
480,"₦ 35,000,000/year",Jabi Abuja Jabi Abuja,3,With Bq
481,"₦ 12,000,000/year","Gilmore, Jahi Abuja",2,Furnished Flat
482,"₦ 7,000,000/year",In An Estate Gwarinpa Gwarinpa Abuja,3,Flat
483,"₦ 12,000,000",In An Estate Gwarinpa Gwarinpa Abuja,4,Detached Duplex
484,"₦ 1,900,000/year",Festrut Estate Katampe Main Katampe Abuja,,Room Self Contained
485,"₦ 13,000,000/year",Paradise Estate Katampe Main Abuja,2,Furnished Apartment
486,"₦ 3,000,000/year",Life Camp Abuja,2,Flat
487,"₦ 4,500,000/year",In An Estate Around Godab Lifecamp Life Camp Abuja,2,Flat
488,"₦ 2,800,000/year",In In An Estate Gwarinpa Extension Gwarinpa Abuja,2,Flat
489,"₦ 30,000,000/year",Wuse Zone Abuja Wuse 1 Abuja,4,Semi Detached Duplex
490,"₦ 8,000,000/year",Life Camp Abuja,4,Newly Built Semi Detached Duplex
491,"₦ 7,000,000/year",In An Estate Close To Godab Lifecamp Life Camp Abuja,4,Semi Detached Duplex
492,"₦ 135,000,000/sqm",Carlton Gate Estate Akobo Ibadan Oyo,4,A Unit Of Fully Detached Duplex
493,"₦ 8,500,000/year",In An Estate Around Godab Life Camp Abuja,4,Newly Built Terrace Duplex With Bq
494,"₦ 10,000,000/year",In An Estate Around Godab Life Camp Abuja,4,Newly Built Terrace Duplex With Bq
495,"₦ 8,000,000/year",Gwarinpa Gwarinpa Abuja,4,Newly Built Terrace Duplex
496,"₦ 6,000,000/year",Jahi Aduvie Jahi Abuja,3,Flat
497,"₦ 4,500,000/year",Nnpc Estate Lifecamp Life Camp Abuja,2,Flat
498,"₦ 3,500,000/year",In An Estate Lifecamp Life Camp Abuja,2,Flat
499,"₦ 1,900,000/year",Festrut Estate Katampe Main Katampe Abuja,,Room Self Contained
500,"₦ 800,000/year",Fha Extension Lugbe Lugbe Abuja,,Self Contain Apartment
501,"₦ 7,000,000/year","Behind Shafa, Matrix Filling Station Lugbe Abuja",5,Duplex
502,"₦ 6,500,000/year",Behind Dunamis Glory Dome Church Lugbe Abuja,4,Newly Built Fully Detached Duplex
503,"₦ 2,000,000/year",Crd Extension Lugbe Abuja,2,Apartment
504,"₦ 4,000,000/year","River Park Estate, Lugbe Abuja",2,Newly Built Block Of Flats
505,"₦ 18,000,000/year","Katampe Extension, Katampe Abuja",4,Newly Built Terraced Duplex With Bq
506,"₦ 8,000,000/year",Pyakasa Lugbe Abuja,4,Duplex
507,"₦ 800,000/year",Behind Shafa Filling Station Lugbe Abuja,,Room Self Contained
508,"₦ 700,000/year",Lugbe Abuja Lugbe Abuja,,Newly Built Self Contain Apartment
509,"₦ 12,000,000/year",River Park Estate Lugbe Abuja,4,Penthouse With 2 Bq
510,"₦ 700,000/year",Peace Village Fha Lugbe Lugbe Abuja,,Room Self Contain
511,"₦ 3,000,000/year",Beside Dunamis Glory Dome Church Lugbe Abuja,2,Block Of Flats
512,"₦ 2,500,000/year","Trade More Estate, Lugbe Abuja",2,Bungalow
513,"₦ 1,700,000,000",Ikoyi Lagos,1000,1000sqm Fully Fenced & Gated Land
514,"₦ 6,000,000/year",Katampe Main Lugbe Abuja,2,Newly Built Apartment
515,"₦ 6,500,000/year",By Efab City Life Camp Abuja,3,Apartment
516,"₦ 11,000,000/year",Kado Abuja,4,Newly Built Terrace Duplex With Bq
517,"₦ 4,500,000/year",Aso Estate Lugbe Lugbe Abuja,3,Standard Block Of Flats
518,"₦ 2,500,000/year",Fha Lugbe Abuja,2,Block Of Flats
519,"₦ 1,500,000/year","Behind Shafa/matrix Airport Road, Lugbe Abuja",1,Sharp Block Of Flats
520,"₦ 90,000,000/year",Beside Dunamis Glory Dome Church Lugbe Abuja,18,Newly Built 18 Units Of
521,"₦ 3,500,000/year",Shafa Filling Station Lugbe Lugbe Abuja,2,Block Of Flats
522,"₦ 5,000,000/year",River Park Estate Lugbe Abuja,2,Block Of Flats
523,"₦ 2,500,000/year",Beside Dunamis Glory Dome Church Lugbe Abuja,2,Newly Built Block Of Flats
524,"₦ 2,800,000/year",Fha Lugbe Abuja,2,Block Of Flats
525,"₦ 2,500,000/year",Fha Lugbe Behind Amac Market Lugbe Abuja,2,Block Of Flats
526,"₦ 6,000,000/year",Von Garden Estate Lugbe Abuja,3,Fully Detached Duplex With Bq
527,"₦ 2,000,000/year",River Park Estate Lugbe Abuja,,Newly Built Self Contain Apartment
528,"₦ 6,000,000/year",Nut Axis Sabon Lugbe Lugbe Abuja,4,Newly Built Duplex
529,"₦ 4,000,000/year",Behind Shafa Filling Station Lugbe Abuja,3,Block Of Flats
530,"₦ 3,500,000/year",Beside Dunamis Glory Dome Church Lugbe Abuja,3,Newly Built Block Of Flats
531,"₦ 3,500,000/year","Pyakasa, Lugbe Abuja",2,Sharp Apartment
532,"₦ 6,500,000/year","After Cedre Crest Hospital, Apo Dutse Abuja",4,Standard Semi Detached Duplex With Gate House
533,"₦ 2,500,000/year",Close To Prince And Princess Estate Kaura (games Village) Abuja,1,Apartment
534,"₦ 750,000,000",Lekki Phase 1 Lekki Lagos,5,Fully Detached Duplex With Bq
535,"₦ 2,500,000",Estate Close To Lokogoma Junction Lokogoma Abuja,,Newly Built One Bedroom In Lokogoma
536,"₦ 16,000,000/year",Guzape Abuja,4,Terrace Duplex With Bq
537,"₦ 10,000,000/year",Diplomatic Zone Guzape Abuja,4,Terrace Duplex With Bq
538,"$ 20,000/year","Guzape Abuja Diplomatic Zone, Guzape Abuja",4,Terraced Duplex
539,"₦ 13,000,000/year",Guzape Abuja Diplomatic Zone Guzape Abuja,4,Terrace Duplex
540,"₦ 15,000,000/year",Asokoro Abuja Diplomatic Zone Asokoro Abuja,3,World Best Terrace Duplex With 1 Room Bq
541,"₦ 17,000,000/year",Diplomatic Zone Asokoro Abuja,4,Terrace Duplex With Bq
542,"₦ 19,000,000/year","Diplomatic Zone, Asokoro Abuja",4,Detached Duplex With Bq
543,"₦ 28,000,000/year","Area 11 ,garki Diplomatic Zone Garki 2 Abuja",2,Block Of Flat
544,"$ 25,000/year","Maitama Abuja Diplomatic, Maitama Abuja",3,Flat
545,"₦ 120,000,000/year",Diplomatic Zone Guzape Abuja,7,7 Units Of Terrace Duplex With Bq
546,"₦ 25,000,000/year",Diplomatic Zone Guzape Abuja,5,Detached Duplex
547,"₦ 50,000,000/year",Diplomatic Zone Asokoro Abuja,4,Terrace Duplex With Bq
548,"₦ 60,000,000/year",Asokoro Abuja,8,Detached Duplex
549,"₦ 25,000,000/year",Asokoro Abuja Diplomatic Zone Asokoro Abuja,4,Detached Duplex With 3room Bq
550,"₦ 150,000,000/year","Area 11 ,diplomatic Zone Garki 2 Abuja",6,6 Units Of Apartment
551,"₦ 15,000,000/year",Guzape Abuja Diplomatic Zone Guzape Abuja,4,Terrace Duplex
552,"₦ 25,000,000/year",Guzape Abuja Diplomatic Zone Guzape Abuja,4,Terrace Duplex
553,"₦ 65,000,000/year","Diplomatic Zone, Maitama Abuja",4,Newly Renovated Detached Duplex With Bq
554,"$ 30,000/year",Diplomatic Zone Asokoro Abuja,3,Furnished Block Of Flat
555,"₦ 1,700,000,000",Diplomatic Zone Katampe Abuja,5,Detached Duplex With Elevator + Cinema
556,"$ 27,000/year","Diplomatic Zone, Jabi Abuja",2,Flat
557,"₦ 11,500,000/year","Life Camp Abuja Diplomatic Zone, Life Camp Abuja",4,Terraced Duplex
558,"₦ 25,000,000/year",Diplomatic Zone Guzape Abuja,4,Newly Built Fully Detached Mansion
559,"₦ 120,000,000/year",Diplomatic Zone Asokoro Abuja,5,5 Units Of Terrace Duplex
560,"₦ 25,000,000/year",Diplomatic Zone Asokoro Abuja,4,Terrace Duplex With Bq
561,"$ 37,000/year","Diplomatic Zone, Maitama Abuja",3,Flat
562,"₦ 15,000,000/year",Guzape Abuja Diplomatic Zone Guzape Abuja,4,Duplex
563,"₦ 17,000,000/year",Diplomatic Zone Guzape Abuja,4,Renovated Terrace Duplex With Bq
564,"₦ 15,000,000/year","Asokoro Abuja Diplomatic Zone, Asokoro Abuja",4,Terraced Duplex With Bq
565,"₦ 13,000,000/year","Diplomatic Zone, Guzape Abuja",4,Renovated Terrace Duplex With Bq
566,"$ 27,000/year",Guzape District Abuja Diplomatic Zone Guzape Abuja,5,Terrace Duplex
567,"$ 30,000/year",Wuse 2 Abuja Diplomatic Zone Wuse 2 Abuja,4,Terrace Duplex
568,"₦ 12,000,000/year",Guzape Abuja Diplomatic Zone Guzape Abuja,4,Newly Built Terrace Duplex
569,"₦ 15,000,000/year",Guzape Abuja Diplomatic Zone Guzape Abuja,4,Terrace Duplex
570,"₦ 15,000,000/year",Guzape Abuja Diplomatic Zone Guzape Abuja,4,Terrace Duplex
571,"$ 90,000/year",Maitama District Abuja Diplomatic Zone Maitama Abuja,4,4 Units Of Fully Detached Duplex
572,"₦ 14,000,000/year",Diplomatic Zone Guzape Abuja,4,Terrace Duplex With Bq
573,"₦ 20,000,000/year",Katampe Extention Abuja Diplomatic Zone Katampe Abuja,4,Semi Detached Duplex
574,"₦ 130,000,000/year",Asokoro Main Diplomatic Zone Asokoro Abuja,7,Brand New Mansion With Swimming Pool
575,"₦ 90,000,000/year","Diplomatic Zone, Asokoro Abuja",7,Fully Detached Mansion
576,"₦ 2,500,000,000",Close To Nnpc Guzape Abuja,7,Distress 7units Of 5bedroom Terraces Duplexes +bq
577,"₦ 96,000,000/year",Open Tower Close To Next Cash And Carry Wuse 2 Abuja,,Office Space
578,"₦ 100,000,000/year",Maitama Abuja,,Twin Duplex
579,"₦ 10,000,000/year",Jabi Abuja,,Office Space
580,"₦ 15,000,000/year",Guzape Guzape Abuja,4,Terrace Duplex
581,"₦ 6,500,000/year",Wuye Abuja,2,Newly Built Flat
