Property Type,Price (Per Annum),Location,Bedrooms,Property Category,Price (Converted to Naira),District,Price(Float)
flat / apartment,"₦8,000,000","Naf Valley Estate, Asokoro District, Abuja",2,Apartment,"₦8,000,000.00",Asokoro,"8,000,000.00"
flat / apartment,"₦11,500,000","Jahi, Abuja",2,Apartment,"₦11,500,000.00",Jahi,"11,500,000.00"
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00",Jabi,"32,000,000.00"
flat / apartment,"₦8,000,000","Kaura, Abuja",3,Apartment,"₦8,000,000.00",Kaura,"8,000,000.00"
flat / apartment,"₦7,000,000","Kaura, Abuja",2,Apartment,"₦7,000,000.00",Kaura,"7,000,000.00"
terraced duplex,"₦25,000,000","Stella Maris School, Life Camp, Abuja",4,Duplex,"₦25,000,000.00",Life Camp,"25,000,000.00"
flat / apartment,"₦5,000,000","Jahi, Abuja",3,Apartment,"₦5,000,000.00",Jahi,"5,000,000.00"
detached duplex,"₦30,000,000","Katampe Extension, Katampe, Abuja",5,Duplex,"₦30,000,000.00",Katampe,"30,000,000.00"
semi-detached duplex,"₦30,000,000","Asokoro, Asokoro District, Abuja",5,Duplex,"₦30,000,000.00",Asokoro,"30,000,000.00"
detached duplex,"₦30,000,000","Utako, Abuja",5,Duplex,"₦30,000,000.00",Utako,"30,000,000.00"
semi-detached duplex,"₦11,000,000","By Cedar Crest Hospital, Gude, Apo, Abuja",4,Duplex,"₦11,000,000.00",Apo,"11,000,000.00"
house,"₦75,000,000","Maitama District, Abuja",4,House,"₦75,000,000.00",Maitama,"75,000,000.00"
terraced duplex,"₦25,000,000","Diplomatic Zone., Katampe Extension, Katampe, Abuja",4,Duplex,"₦25,000,000.00",Katampe,"25,000,000.00"
flat / apartment,"₦12,000,000","Utako, Abuja",3,Apartment,"₦12,000,000.00",Utako,"12,000,000.00"
terraced duplex,"₦15,000,000","Off Ahmadu Bello Way, Mabushi, Abuja",4,Duplex,"₦15,000,000.00",Mabushi,"15,000,000.00"
terraced duplex,"₦12,000,000","Estate After Vio, Mabushi, Abuja",4,Duplex,"₦12,000,000.00",Mabushi,"12,000,000.00"
detached duplex,"₦45,000,000","Wuse 2, Abuja",6,Duplex,"₦45,000,000.00",Wuse,"45,000,000.00"
house,"$50,000","Diplomatic Zone, Maitama District, Abuja",3,House,"₦67,748,500.00",Maitama,"67,748,500.00"
flat / apartment,"₦5,500,000","By Area 1 Roundabout, Durumi, Abuja",2,Apartment,"₦5,500,000.00",Durumi,"5,500,000.00"
detached duplex,"₦20,000,000","Diplomatic Zone, Asokoro District, Abuja",4,Duplex,"₦20,000,000.00",Asokoro,"20,000,000.00"
house,"$37,000","Diplomatic Zone, Asokoro District, Abuja",3,House,"₦50,133,890.00",Asokoro,"50,133,890.00"
detached duplex,"₦20,000,000","Diplomatic Zone, Guzape District, Abuja",5,Duplex,"₦20,000,000.00",Guzape,"20,000,000.00"
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00",Jabi,"32,000,000.00"
detached duplex,"$35,000","Diplomatic Zone, Guzape District, Abuja",4,Duplex,"₦47,423,950.00",Guzape,"47,423,950.00"
semi-detached duplex,"₦25,000,000","Apo, Abuja",5,Duplex,"₦25,000,000.00",Apo,"25,000,000.00"
terraced duplex,"₦15,000,000","Guzape District, Abuja",5,Duplex,"₦15,000,000.00",Guzape,"15,000,000.00"
house,"₦50,000,000","Off Lakechad, Maitama District, Abuja",5,House,"₦50,000,000.00",Maitama,"50,000,000.00"
flat / apartment,"₦6,000,000","Jahi, Abuja",2,Apartment,"₦6,000,000.00",Jahi,"6,000,000.00"
flat / apartment,"₦8,000,000","Jahi, Abuja",3,Apartment,"₦8,000,000.00",Jahi,"8,000,000.00"
detached duplex,"₦7,500,000","Just After Dunamis Church By New Shafa Filling Station, Lugbe District, Abuja",4,Duplex,"₦7,500,000.00",Lugbe,"7,500,000.00"
semi-detached duplex,"₦25,000,000","Apo Legislative Quaters, Apo, Abuja",5,Duplex,"₦25,000,000.00",Apo,"25,000,000.00"
terraced duplex,"₦30,000,000","Off Ibb Way, Maitama District, Abuja",4,Duplex,"₦30,000,000.00",Maitama,"30,000,000.00"
detached duplex,"₦80,000,000","Guzape District, Abuja",5,Duplex,"₦80,000,000.00",Guzape,"80,000,000.00"
flat / apartment,"₦5,000,000","Durumi, Abuja",2,Apartment,"₦5,000,000.00",Durumi,"5,000,000.00"
terraced duplex,"₦15,000,000","Guzape District, Abuja",4,Duplex,"₦15,000,000.00",Guzape,"15,000,000.00"
flat / apartment,"₦15,000,000","Mabushi, Abuja",4,Apartment,"₦15,000,000.00",Mabushi,"15,000,000.00"
terraced duplex,"₦8,000,000","Apo, Abuja",3,Duplex,"₦8,000,000.00",Apo,"8,000,000.00"
flat / apartment,"₦5,800,000","By Nizamiya Hospital Side, Idu Industrial, Abuja",3,Apartment,"₦5,800,000.00",Idu,"5,800,000.00"
flat / apartment,"₦8,000,000","Katampe (Main), Katampe, Abuja",3,Apartment,"₦8,000,000.00",Katampe,"8,000,000.00"
flat / apartment,"₦6,000,000","Life Camp, Abuja",2,Apartment,"₦6,000,000.00",Life Camp,"6,000,000.00"
flat / apartment,"₦7,000,000","Life Camp, Abuja",3,Apartment,"₦7,000,000.00",Life Camp,"7,000,000.00"
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00",Jabi,"32,000,000.00"
terraced duplex,"₦15,000,000","Area 2, Garki, Abuja",3,Duplex,"₦15,000,000.00",Garki,"15,000,000.00"
flat / apartment,"₦9,000,000","Wuye, Abuja",2,Apartment,"₦9,000,000.00",Wuye,"9,000,000.00"
flat / apartment,"₦6,700,000","By Godab Estate, Life Camp, Abuja",3,Apartment,"₦6,700,000.00",Life Camp,"6,700,000.00"
flat / apartment,"₦6,000,000","Berger Clinic Axis, Life Camp, Abuja",2,Apartment,"₦6,000,000.00",Life Camp,"6,000,000.00"
terraced duplex,"₦10,000,000","Jahi, Abuja",4,Duplex,"₦10,000,000.00",Jahi,"10,000,000.00"
terraced duplex,"₦13,000,000","Jahi, Abuja",4,Duplex,"₦13,000,000.00",Jahi,"13,000,000.00"
detached duplex,"₦80,000,000","Maitama District, Abuja",5,Duplex,"₦80,000,000.00",Maitama,"80,000,000.00"
detached bungalow,"₦2,500,000","Lokogoma District, Abuja",1,Bungalow,"₦2,500,000.00",Lokogoma,"2,500,000.00"
flat / apartment,"₦7,000,000","Gilmore, Jahi, Abuja",2,Apartment,"₦7,000,000.00",Jahi,"7,000,000.00"
terraced duplex,"₦14,000,000","Jahi, Abuja",4,Duplex,"₦14,000,000.00",Jahi,"14,000,000.00"
detached duplex,"₦80,000,000","Maitama District, Abuja",5,Duplex,"₦80,000,000.00",Maitama,"80,000,000.00"
semi-detached duplex,"₦9,000,000","Naf Valley Estate, Asokoro District, Abuja",3,Duplex,"₦9,000,000.00",Asokoro,"9,000,000.00"
detached duplex,"₦100,000,000","Asokoro District, Abuja",5,Duplex,"₦100,000,000.00",Asokoro,"100,000,000.00"
terraced duplex,"₦17,000,000","Guzape District, Abuja",4,Duplex,"₦17,000,000.00",Guzape,"17,000,000.00"
terraced duplex,"₦12,000,000","Mabushi, Abuja",4,Duplex,"₦12,000,000.00",Mabushi,"12,000,000.00"
flat / apartment,"₦19,000,000","Ademola Adetokunbo, Wuse 2, Abuja",2,Apartment,"₦19,000,000.00",Wuse,"19,000,000.00"
flat / apartment,"₦22,000,000","Ademola Adetokunbo, Wuse 2, Abuja",2,Apartment,"₦22,000,000.00",Wuse,"22,000,000.00"
flat / apartment,"₦4,000,000","Dawaki, Gwarinpa, Abuja",2,Apartment,"₦4,000,000.00",Gwarinpa,"4,000,000.00"
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00",Jabi,"32,000,000.00"
mini flat (room and parlour),"₦11,000,000","Jabi, Abuja",1,Apartment,"₦11,000,000.00",Jabi,"11,000,000.00"
terraced duplex,"₦18,000,000","Wuye, Abuja",4,Duplex,"₦18,000,000.00",Wuye,"18,000,000.00"
flat / apartment,"₦5,500,000","By Apostolic/christ Embassy Church(tarred Rd), Jabi, Abuja",3,Apartment,"₦5,500,000.00",Jabi,"5,500,000.00"
semi-detached duplex,"₦25,000,000","Legislative Quarters, Apo, Abuja",5,Duplex,"₦25,000,000.00",Apo,"25,000,000.00"
terraced duplex,"₦15,000,000","Life Camp, Abuja",4,Duplex,"₦15,000,000.00",Life Camp,"15,000,000.00"
detached duplex,"₦35,000,000","Life Camp, Abuja",8,Duplex,"₦35,000,000.00",Life Camp,"35,000,000.00"
flat / apartment,"₦7,000,000","Life Camp, Abuja",3,Apartment,"₦7,000,000.00",Life Camp,"7,000,000.00"
house,"₦30,000,000","Katampe Extension, Katampe, Abuja",5,House,"₦30,000,000.00",Katampe,"30,000,000.00"
flat / apartment,"₦4,500,000","Opposite River Park Estate., Lugbe District, Abuja",3,Apartment,"₦4,500,000.00",Lugbe,"4,500,000.00"
detached duplex,"₦35,000,000","Diplomatic Zone, Katampe Extension, Katampe, Abuja",6,Duplex,"₦35,000,000.00",Katampe,"35,000,000.00"
flat / apartment,"₦9,000,000","Fola Daniel Street Jahi By Gilmore, Jahi, Abuja",3,Apartment,"₦9,000,000.00",Jahi,"9,000,000.00"
terraced duplex,"₦15,000,000","Mabushi, Abuja",4,Duplex,"₦15,000,000.00",Mabushi,"15,000,000.00"
detached duplex,"₦20,000,000","Katampe, Abuja",6,Duplex,"₦20,000,000.00",Katampe,"20,000,000.00"
flat / apartment,"₦18,000,000","By Banex Wuse 2/mabushi, Wuse 2, Abuja",3,Apartment,"₦18,000,000.00",Wuse,"18,000,000.00"
flat / apartment,"₦10,000,000","Fha, Guzape District, Abuja",3,Apartment,"₦10,000,000.00",Guzape,"10,000,000.00"
flat / apartment,"₦8,500,000","Jahi, Abuja",3,Apartment,"₦8,500,000.00",Jahi,"8,500,000.00"
flat / apartment,"₦9,000,000","Guzape Main, Guzape District, Abuja",2,Apartment,"₦9,000,000.00",Guzape,"9,000,000.00"
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00",Jabi,"32,000,000.00"
detached duplex,"₦10,000,000","Close To Lokogoma Junction, Lokogoma District, Abuja",6,Duplex,"₦10,000,000.00",Lokogoma,"10,000,000.00"
detached bungalow,"₦17,000,000","Kado Estate, Kado, Abuja",3,Bungalow,"₦17,000,000.00",Kado,"17,000,000.00"
terraced duplex,"₦15,000,000","Close To Banex, Mabushi, Abuja",4,Duplex,"₦15,000,000.00",Mabushi,"15,000,000.00"
detached duplex,"₦120,000,000","Utako, Abuja",5,Duplex,"₦120,000,000.00",Utako,"120,000,000.00"
flat / apartment,"₦6,500,000","Idu Industrial, Abuja",4,Apartment,"₦6,500,000.00",Idu,"6,500,000.00"
flat / apartment,"₦9,000,000","Guzape Hills, Guzape District, Abuja",3,Apartment,"₦9,000,000.00",Guzape,"9,000,000.00"
semi-detached duplex,"₦9,000,000","Open Gate Estate Phase 3 Idu Karmo, Idu Industrial, Abuja",4,Duplex,"₦9,000,000.00",Idu,"9,000,000.00"
terraced duplex,"₦30,000,000","Katampe, Abuja",4,Duplex,"₦30,000,000.00",Katampe,"30,000,000.00"
terraced duplex,"₦30,000,000","Maitama District, Abuja",4,Duplex,"₦30,000,000.00",Maitama,"30,000,000.00"
flat / apartment,"₦7,500,000","Behind Capital Hub, Mabushi, Abuja",3,Apartment,"₦7,500,000.00",Mabushi,"7,500,000.00"
semi-detached duplex,"₦8,500,000","Hillfield Homes, Dawaki, Gwarinpa, Abuja",4,Duplex,"₦8,500,000.00",Gwarinpa,"8,500,000.00"
terraced duplex,"₦15,000,000","Mabushi, Abuja",4,Duplex,"₦15,000,000.00",Mabushi,"15,000,000.00"
flat / apartment,"₦3,500,000","Kado, Abuja",1,Apartment,"₦3,500,000.00",Kado,"3,500,000.00"
semi-detached duplex,"₦20,000,000","Naf Valley Estate, Asokoro District, Abuja",3,Duplex,"₦20,000,000.00",Asokoro,"20,000,000.00"
flat / apartment,"₦10,000,000","Thl Estate, Apo, Abuja",3,Apartment,"₦10,000,000.00",Apo,"10,000,000.00"
flat / apartment,"₦7,500,000","Thl Estate, Apo, Abuja",2,Apartment,"₦7,500,000.00",Apo,"7,500,000.00"
mini flat (room and parlour),"₦5,000,000","Thl Estate, Apo, Abuja",1,Apartment,"₦5,000,000.00",Apo,"5,000,000.00"
semi-detached duplex,"₦11,000,000","By Cedercrest Hospital Abuja, Apo, Abuja",4,Duplex,"₦11,000,000.00",Apo,"11,000,000.00"
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00",Jabi,"32,000,000.00"
terraced duplex,"₦12,500,000","Legislative Quarters, Apo, Abuja",4,Duplex,"₦12,500,000.00",Apo,"12,500,000.00"
flat / apartment,"₦2,000,000","Crd Estate, Lugbe District, Abuja",2,Apartment,"₦2,000,000.00",Lugbe,"2,000,000.00"
terraced duplex,"₦15,000,000","Zavati, Life Camp, Abuja",4,Duplex,"₦15,000,000.00",Life Camp,"15,000,000.00"
semi-detached duplex,"₦80,000,000","Asokoro District, Abuja",4,Duplex,"₦80,000,000.00",Asokoro,"80,000,000.00"
flat / apartment,"₦4,500,000","Jahi, Abuja",2,Apartment,"₦4,500,000.00",Jahi,"4,500,000.00"
mini flat (room and parlour),"₦2,000,000","Lugbe District, Abuja",1,Apartment,"₦2,000,000.00",Lugbe,"2,000,000.00"
flat / apartment,"₦35,000,000","Off Farmers Market, Maitama District, Abuja",3,Apartment,"₦35,000,000.00",Maitama,"35,000,000.00"
terraced duplex,"₦18,000,000","Guzape District, Abuja",4,Duplex,"₦18,000,000.00",Guzape,"18,000,000.00"
detached duplex,"₦50,000,000","Tennese Crescent, Maitama District, Abuja",5,Duplex,"₦50,000,000.00",Maitama,"50,000,000.00"
flat / apartment,"₦9,000,000","By Amaka's Mall, Guzape District, Abuja",3,Apartment,"₦9,000,000.00",Guzape,"9,000,000.00"
flat / apartment,"₦10,000,000","Mabushi, Abuja",3,Apartment,"₦10,000,000.00",Mabushi,"10,000,000.00"
flat / apartment,"$65,000","Asokoro District, Abuja",2,Apartment,"₦88,073,050.00",Asokoro,"88,073,050.00"
terraced duplex,"₦350,000,000","Life Camp, Abuja",4,Duplex,"₦350,000,000.00",Life Camp,"350,000,000.00"
flat / apartment,"₦33,000,000","Area 2, Garki, Abuja",2,Apartment,"₦33,000,000.00",Garki,"33,000,000.00"
flat / apartment,"₦25,000,000","(diplomatic Zone), Katampe Extension, Katampe, Abuja",3,Apartment,"₦25,000,000.00",Katampe,"25,000,000.00"
flat / apartment,"₦10,000,000","Wuye, Abuja",3,Apartment,"₦10,000,000.00",Wuye,"10,000,000.00"
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00",Jabi,"32,000,000.00"
terraced duplex,"₦25,000,000","Katampe (Main), Katampe, Abuja",4,Duplex,"₦25,000,000.00",Katampe,"25,000,000.00"
semi-detached duplex,"₦80,000,000","Asokoro District, Abuja",4,Duplex,"₦80,000,000.00",Asokoro,"80,000,000.00"
flat / apartment,"₦9,000,000","Mabushi, Abuja",3,Apartment,"₦9,000,000.00",Mabushi,"9,000,000.00"
house,"₦30,000,000","Maitama District, Abuja",4,House,"₦30,000,000.00",Maitama,"30,000,000.00"
terraced duplex,"₦20,000,000","Naf Valley Estate Asokoro, Abuja, Asokoro District, Abuja",5,Duplex,"₦20,000,000.00",Asokoro,"20,000,000.00"
flat / apartment,"₦25,000,000","Guzape District, Abuja",2,Apartment,"₦25,000,000.00",Guzape,"25,000,000.00"
detached duplex,"₦100,000,000","Guzape District, Abuja",5,Duplex,"₦100,000,000.00",Guzape,"100,000,000.00"
terraced duplex,"₦15,000,000","By Mfm Church, Wuye, Abuja",4,Duplex,"₦15,000,000.00",Wuye,"15,000,000.00"
terraced duplex,"₦35,000,000","Guzape District, Abuja",5,Duplex,"₦35,000,000.00",Guzape,"35,000,000.00"
terraced duplex,"₦15,000,000","By Vio Office, Mabushi, Abuja",4,Duplex,"₦15,000,000.00",Mabushi,"15,000,000.00"
flat / apartment,"₦7,500,000","Mabushi, Abuja",3,Apartment,"₦7,500,000.00",Mabushi,"7,500,000.00"
terraced duplex,"₦15,000,000","Guzape District, Abuja",4,Duplex,"₦15,000,000.00",Guzape,"15,000,000.00"
detached duplex,"₦35,000,000","Gwarinpa, Abuja",6,Duplex,"₦35,000,000.00",Gwarinpa,"35,000,000.00"
house,"₦15,000,000","Mabushi, Katampe (Main), Katampe, Abuja",5,House,"₦15,000,000.00",Katampe,"15,000,000.00"
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00",Jabi,"32,000,000.00"
house,"₦17,500,000","Mabushi, Katampe (Main), Katampe, Abuja",5,House,"₦17,500,000.00",Katampe,"17,500,000.00"
detached duplex,"₦37,000,000","Katampe Extension, Katampe, Abuja",6,Duplex,"₦37,000,000.00",Katampe,"37,000,000.00"
terraced duplex,"₦25,000,000","In A Mini Estate, Guzape District, Abuja",5,Duplex,"₦25,000,000.00",Guzape,"25,000,000.00"
flat / apartment,"₦8,500,000","Katampe, Abuja",3,Apartment,"₦8,500,000.00",Katampe,"8,500,000.00"
block of flats,"₦160,000,000","Jabi, Abuja",32,Apartment,"₦160,000,000.00",Jabi,"160,000,000.00"
mini flat (room and parlour),"₦6,000,000","13, Bagudu Mamman Crescent, Katampe Extension, Katampe, Abuja",1,Apartment,"₦6,000,000.00",Katampe,"6,000,000.00"
terraced duplex,"₦25,000,000","Jabi, Abuja",4,Duplex,"₦25,000,000.00",Jabi,"25,000,000.00"
detached duplex,"₦28,000,000","Guzape District, Abuja",5,Duplex,"₦28,000,000.00",Guzape,"28,000,000.00"
terraced duplex,"₦15,000,000","Guzape District, Abuja",4,Duplex,"₦15,000,000.00",Guzape,"15,000,000.00"
flat / apartment,"₦3,500,000","By Grand Pela Hotel, Durumi, Abuja",2,Apartment,"₦3,500,000.00",Durumi,"3,500,000.00"
flat / apartment,"₦4,500,000","Jahi, Abuja",2,Apartment,"₦4,500,000.00",Jahi,"4,500,000.00"
flat / apartment,"₦10,000,000","Jahi, Abuja",3,Apartment,"₦10,000,000.00",Jahi,"10,000,000.00"
detached duplex,"₦80,000,000","Maitama District, Abuja",6,Duplex,"₦80,000,000.00",Maitama,"80,000,000.00"
terraced duplex,"₦25,000,000","Maitama District, Abuja",4,Duplex,"₦25,000,000.00",Maitama,"25,000,000.00"
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00",Jabi,"32,000,000.00"
flat / apartment,"₦8,000,000","Wuye, Abuja",3,Apartment,"₦8,000,000.00",Wuye,"8,000,000.00"
mini flat (room and parlour),"₦6,000,000","Kado, Abuja",1,Apartment,"₦6,000,000.00",Kado,"6,000,000.00"
mini flat (room and parlour),"₦1,600,000","By Liberty 3 Estate,  Opp Living Faith Church, Lugbe District, Abuja",1,Apartment,"₦1,600,000.00",Lugbe,"1,600,000.00"
semi-detached duplex,"₦30,000,000","Diplomatic Zone, Katampe Extension, Katampe, Abuja",4,Duplex,"₦30,000,000.00",Katampe,"30,000,000.00"
detached duplex,"₦14,000,000","By Polaris, Life Camp, Abuja",4,Duplex,"₦14,000,000.00",Life Camp,"14,000,000.00"
detached duplex,"₦15,000,000","Gwarinpa, Abuja",4,Duplex,"₦15,000,000.00",Gwarinpa,"15,000,000.00"
terraced duplex,"₦12,000,000","Guzape District, Abuja",4,Duplex,"₦12,000,000.00",Guzape,"12,000,000.00"
terraced duplex,"₦25,000,000","Jabi Main, Jabi, Abuja",4,Duplex,"₦25,000,000.00",Jabi,"25,000,000.00"
semi-detached duplex,"₦30,000,000","Main, Wuye, Abuja",5,Duplex,"₦30,000,000.00",Wuye,"30,000,000.00"
detached duplex,"₦25,000,000","Katampe Extension, Katampe, Abuja",4,Duplex,"₦25,000,000.00",Katampe,"25,000,000.00"
terraced duplex,"₦30,000,000","Asokoro Main, Asokoro District, Abuja",5,Duplex,"₦30,000,000.00",Asokoro,"30,000,000.00"
flat / apartment,"₦25,000,000","Asokoro Main, Asokoro District, Abuja",3,Apartment,"₦25,000,000.00",Asokoro,"25,000,000.00"
flat / apartment,"₦10,000,000","Guzape Main, Guzape District, Abuja",3,Apartment,"₦10,000,000.00",Guzape,"10,000,000.00"
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00",Jabi,"32,000,000.00"
flat / apartment,"₦10,000,000","Jabi, Abuja",3,Apartment,"₦10,000,000.00",Jabi,"10,000,000.00"
terraced duplex,"₦25,000,000","Jabi, Abuja",4,Duplex,"₦25,000,000.00",Jabi,"25,000,000.00"
flat / apartment,"₦180,000,000","Area 11, Garki, Abuja",23,Apartment,"₦180,000,000.00",Garki,"180,000,000.00"
detached duplex,"₦100,000,000","Asokoro District, Abuja",5,Duplex,"₦100,000,000.00",Asokoro,"100,000,000.00"
detached duplex,"₦35,000,000","Katampe Extension, Katampe, Abuja",6,Duplex,"₦35,000,000.00",Katampe,"35,000,000.00"
terraced duplex,"₦15,000,000","Life Camp, Abuja",4,Duplex,"₦15,000,000.00",Life Camp,"15,000,000.00"
flat / apartment,"₦3,500,000","Efab Verizon, Gwarinpa, Abuja",1,Apartment,"₦3,500,000.00",Gwarinpa,"3,500,000.00"
flat / apartment,"₦180,000,000","Garki, Abuja",6,Apartment,"₦180,000,000.00",Garki,"180,000,000.00"
terraced duplex,"₦25,000,000","Katampe Extension, Katampe, Abuja",3,Duplex,"₦25,000,000.00",Katampe,"25,000,000.00"
terraced duplex,"₦13,500,000","Jahi, Abuja",4,Duplex,"₦13,500,000.00",Jahi,"13,500,000.00"
detached duplex,"₦60,000,000","Guzape District, Abuja",5,Duplex,"₦60,000,000.00",Guzape,"60,000,000.00"
terraced duplex,"₦2,000,000","Serene, Jahi, Abuja",1,Duplex,"₦2,000,000.00",Jahi,"2,000,000.00"
terraced duplex,"₦10,000,000","Jahi, Abuja",3,Duplex,"₦10,000,000.00",Jahi,"10,000,000.00"
terraced duplex,"₦22,000,000","Jabi Lake By Shop Rite, Jabi, Abuja",4,Duplex,"₦22,000,000.00",Jabi,"22,000,000.00"
terraced duplex,"₦25,000,000","Durumi, Abuja",5,Duplex,"₦25,000,000.00",Durumi,"25,000,000.00"
detached duplex,"₦37,500,000","Katampe Extension, Katampe, Abuja",6,Duplex,"₦37,500,000.00",Katampe,"37,500,000.00"
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00",Jabi,"32,000,000.00"
mini flat (room and parlour),"₦2,000,000","Pent City Estate, Lokogoma District, Abuja",1,Apartment,"₦2,000,000.00",Lokogoma,"2,000,000.00"
terraced duplex,"₦13,000,000","Off Aminu Kano Crescent, Wuse 2, Abuja",5,Duplex,"₦13,000,000.00",Wuse,"13,000,000.00"
mini flat (room and parlour),"₦4,000,000","Off Aminu Kano Crescent, Wuse 2, Abuja",1,Apartment,"₦4,000,000.00",Wuse,"4,000,000.00"
flat / apartment,"₦6,500,000","Utako, Abuja",3,Apartment,"₦6,500,000.00",Utako,"6,500,000.00"
semi-detached bungalow,"₦6,000,000","Sunnyvale Estate, Lokogoma District, Abuja",3,Bungalow,"₦6,000,000.00",Lokogoma,"6,000,000.00"
semi-detached duplex,"₦9,000,000","Idu Industrial, Abuja",4,Duplex,"₦9,000,000.00",Idu,"9,000,000.00"
detached duplex,"₦75,000,000","Aliyu Modibo Street, Guzape District, Abuja",5,Duplex,"₦75,000,000.00",Guzape,"75,000,000.00"
mini flat (room and parlour),"₦2,500,000","Jabi, Abuja",1,Apartment,"₦2,500,000.00",Jabi,"2,500,000.00"
terraced duplex,"₦30,000,000","Off Ibb Way, Maitama District, Abuja",4,Duplex,"₦30,000,000.00",Maitama,"30,000,000.00"
flat / apartment,"₦5,500,000","Jabi, Abuja",3,Apartment,"₦5,500,000.00",Jabi,"5,500,000.00"
flat / apartment,"₦6,500,000","Main, Wuye, Abuja",2,Apartment,"₦6,500,000.00",Wuye,"6,500,000.00"
semi-detached duplex,"₦9,000,000","Idu, Karmo, Abuja",4,Duplex,"₦9,000,000.00",Idu,"9,000,000.00"
semi-detached duplex,"₦45,000,000","Guzape District, Abuja",4,Duplex,"₦45,000,000.00",Guzape,"45,000,000.00"
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00",Jabi,"32,000,000.00"
semi-detached duplex,"₦85,000,000","Asokoro District, Abuja",5,Duplex,"₦85,000,000.00",Asokoro,"85,000,000.00"
flat / apartment,"₦90,000,000","Guzape District, Abuja",3,Apartment,"₦90,000,000.00",Guzape,"90,000,000.00"
flat / apartment,"₦10,000,000","Guzape District, Abuja",3,Apartment,"₦10,000,000.00",Guzape,"10,000,000.00"
flat / apartment,"₦6,000,000","By Apga Head Office, Katampe (Main), Katampe, Abuja",3,Apartment,"₦6,000,000.00",Katampe,"6,000,000.00"
flat / apartment,"₦6,500,000","By Kia Academy, Wuye, Abuja",2,Apartment,"₦6,500,000.00",Wuye,"6,500,000.00"
flat / apartment,"₦5,000,000","Life Camp Extension/ Fish Market Axis, Life Camp, Abuja",3,Apartment,"₦5,000,000.00",Life Camp,"5,000,000.00"
detached duplex,"₦30,000,000","Katampe Extension, Katampe Extension, Katampe, Abuja",6,Duplex,"₦30,000,000.00",Katampe,"30,000,000.00"
terraced duplex,"₦25,000,000","Main Maitama, Maitama District, Abuja",4,Duplex,"₦25,000,000.00",Maitama,"25,000,000.00"
flat / apartment,"₦6,500,000","Utako, Abuja",3,Apartment,"₦6,500,000.00",Utako,"6,500,000.00"
semi-detached duplex,"₦35,000,000","Jabi, Abuja",4,Duplex,"₦35,000,000.00",Jabi,"35,000,000.00"
mini flat (room and parlour),"₦2,500,000","Jabi, Abuja",1,Apartment,"₦2,500,000.00",Jabi,"2,500,000.00"
terraced duplex,"₦15,000,000","Wuye, Abuja",4,Duplex,"₦15,000,000.00",Wuye,"15,000,000.00"
detached duplex,"₦35,000,000","Katampe Extension, Katampe, Abuja",6,Duplex,"₦35,000,000.00",Katampe,"35,000,000.00"
detached duplex,"₦15,500,000","Lokogoma District, Abuja",11,Duplex,"₦15,500,000.00",Lokogoma,"15,500,000.00"
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00",Jabi,"32,000,000.00"
flat / apartment,"₦20,000,000","Katampe Extension, Katampe, Abuja",2,Apartment,"₦20,000,000.00",Katampe,"20,000,000.00"
flat / apartment,"₦10,000,000","Wuye, Abuja",3,Apartment,"₦10,000,000.00",Wuye,"10,000,000.00"
terraced duplex,"₦15,000,000","Life Camp, Abuja",4,Duplex,"₦15,000,000.00",Life Camp,"15,000,000.00"
flat / apartment,"₦8,000,000","Wuye, Abuja",3,Apartment,"₦8,000,000.00",Wuye,"8,000,000.00"
terraced duplex,"₦15,000,000","Life Camp, Abuja",4,Duplex,"₦15,000,000.00",Life Camp,"15,000,000.00"
flat / apartment,"₦8,500,000","Jahi, Abuja",3,Apartment,"₦8,500,000.00",Jahi,"8,500,000.00"
flat / apartment,"₦9,000,000","Mabushi, Abuja",3,Apartment,"₦9,000,000.00",Mabushi,"9,000,000.00"
flat / apartment,"₦5,000,000","Durumi, Abuja",2,Apartment,"₦5,000,000.00",Durumi,"5,000,000.00"
