Property Type,Price (Per Annum),Location,Bedrooms,Property Category,Price (Converted to Naira),Price(Float),District
terraced duplex,"₦15,000,000","Life Camp, Abuja",4,Duplex,"₦15,000,000.00","15,000,000.00",Life Camp
flat / apartment,"₦8,000,000","Wuye, Abuja",3,Apartment,"₦8,000,000.00","8,000,000.00",Wuye
terraced duplex,"₦15,000,000","Life Camp, Abuja",4,Duplex,"₦15,000,000.00","15,000,000.00",Life Camp
flat / apartment,"₦8,500,000","Jahi, Abuja",3,Apartment,"₦8,500,000.00","8,500,000.00",Jahi
flat / apartment,"₦9,000,000","Mabushi, Abuja",3,Apartment,"₦9,000,000.00","9,000,000.00",Mabushi
flat / apartment,"₦5,000,000","Durumi, Abuja",2,Apartment,"₦5,000,000.00","5,000,000.00",Durumi
flat / apartment,"₦6,000,000","Zone 1, Wuse, Abuja",4,Apartment,"₦6,000,000.00","6,000,000.00",Wuse
terraced duplex,"₦12,000,000","Jahi, Abuja",4,Duplex,"₦12,000,000.00","12,000,000.00",Jahi
detached duplex,"₦90,000,000","Off Nile Street, Maitama District, Abuja",5,Duplex,"₦90,000,000.00","90,000,000.00",Maitama
detached duplex,"₦45,000,000","Off Lobinto Crescent, Wuse 2, Abuja",8,Duplex,"₦45,000,000.00","45,000,000.00",Wuse
terraced duplex,"₦12,000,000","By Lifecamp Junction/airport Junction, Jabi, Abuja",4,Duplex,"₦12,000,000.00","12,000,000.00",Jabi
detached duplex,"₦13,000,000","By Copa Cubana, Lokogoma District, Abuja",5,Duplex,"₦13,000,000.00","13,000,000.00",Lokogoma
flat / apartment,"₦6,000,000","By Nizamiya Hospital, Idu Industrial, Abuja",3,Apartment,"₦6,000,000.00","6,000,000.00",Idu
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00","32,000,000.00",Jabi
flat / apartment,"₦3,500,000","Dawaki, Gwarinpa, Abuja",2,Apartment,"₦3,500,000.00","3,500,000.00",Gwarinpa
flat / apartment,"$25,000","Maitama District, Abuja",2,Apartment,"₦33,874,250.00","33,874,250.00",Maitama
flat / apartment,"$45,000","Maitama District, Abuja",3,Apartment,"₦60,973,650.00","60,973,650.00",Maitama
flat / apartment,"$35,000","Maitama District, Abuja",2,Apartment,"₦47,423,950.00","47,423,950.00",Maitama
terraced duplex,"₦30,000,000","Maitama Main, Maitama District, Abuja",4,Duplex,"₦30,000,000.00","30,000,000.00",Maitama
flat / apartment,"₦12,000,000","Wuye, Abuja",3,Apartment,"₦12,000,000.00","12,000,000.00",Wuye
flat / apartment,"₦15,000,000","Asokoro District, Abuja",3,Apartment,"₦15,000,000.00","15,000,000.00",Asokoro
flat / apartment,"₦5,500,000","New Oil Spring Estate Beside New Site Estate, Lugbe District, Abuja",3,Apartment,"₦5,500,000.00","5,500,000.00",Lugbe
terraced duplex,"₦15,000,000","By Water Board, Asokoro District, Abuja",4,Duplex,"₦15,000,000.00","15,000,000.00",Asokoro
semi-detached duplex,"₦1,000,000,000","Amino Kano Crescent, Wuse 2, Abuja",4,Duplex,"₦1,000,000,000.00","1,000,000,000.00",Wuse
flat / apartment,"₦6,000,000","Life Camp, Abuja",2,Apartment,"₦6,000,000.00","6,000,000.00",Life Camp
semi-detached duplex,"₦30,000,000","Katampe Extension, Katampe, Abuja",4,Duplex,"₦30,000,000.00","30,000,000.00",Katampe
flat / apartment,"₦7,000,000","Life Camp, Abuja",3,Apartment,"₦7,000,000.00","7,000,000.00",Life Camp
flat / apartment,"₦12,000,000","Utako, Abuja",3,Apartment,"₦12,000,000.00","12,000,000.00",Utako
terraced duplex,"₦25,000,000","Maitama District, Abuja",4,Duplex,"₦25,000,000.00","25,000,000.00",Maitama
semi-detached duplex,"₦30,000,000","Katampe Extension, Katampe, Abuja",6,Duplex,"₦30,000,000.00","30,000,000.00",Katampe
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00","32,000,000.00",Jabi
flat / apartment,"₦8,500,000","Jahi, Abuja",3,Apartment,"₦8,500,000.00","8,500,000.00",Jahi
flat / apartment,"₦12,000,000","Utako, Abuja",3,Apartment,"₦12,000,000.00","12,000,000.00",Utako
flat / apartment,"₦25,000,000","Maitama District, Abuja",2,Apartment,"₦25,000,000.00","25,000,000.00",Maitama
detached duplex,"₦160,000,000","Katampe Extension, Katampe, Abuja",24,Duplex,"₦160,000,000.00","160,000,000.00",Katampe
detached duplex,"₦100,000,000","Maitama District, Abuja",5,Duplex,"₦100,000,000.00","100,000,000.00",Maitama
flat / apartment,"₦7,000,000","Durumi, Abuja",2,Apartment,"₦7,000,000.00","7,000,000.00",Durumi
terraced duplex,"₦10,000,000","Kado, Abuja",4,Duplex,"₦10,000,000.00","10,000,000.00",Kado
terraced duplex,"₦5,500,000","Life Camp, Abuja",4,Duplex,"₦5,500,000.00","5,500,000.00",Life Camp
detached duplex,"₦15,000,000","Life Camp, Abuja",6,Duplex,"₦15,000,000.00","15,000,000.00",Life Camp
semi-detached duplex,"₦25,000,000","Wuse 2, Abuja",4,Duplex,"₦25,000,000.00","25,000,000.00",Wuse
flat / apartment,"₦4,000,000","River Park Estate, Lugbe District, Abuja",2,Apartment,"₦4,000,000.00","4,000,000.00",Lugbe
flat / apartment,"₦8,000,000","Gilmore, Jahi, Abuja",3,Apartment,"₦8,000,000.00","8,000,000.00",Jahi
flat / apartment,"₦7,000,000","Gilmore, Jahi, Abuja",2,Apartment,"₦7,000,000.00","7,000,000.00",Jahi
terraced duplex,"₦15,000,000","Jahi, Abuja",4,Duplex,"₦15,000,000.00","15,000,000.00",Jahi
terraced duplex,"₦10,000,000","Rockvale Manor Estate Dutse, Apo, Abuja",3,Duplex,"₦10,000,000.00","10,000,000.00",Apo
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00","32,000,000.00",Jabi
flat / apartment,"₦4,500,000","Dawaki, Gwarinpa, Abuja",2,Apartment,"₦4,500,000.00","4,500,000.00",Gwarinpa
terraced duplex,"₦11,000,000","Behind Lento Aluminium, Life Camp, Abuja",4,Duplex,"₦11,000,000.00","11,000,000.00",Life Camp
flat / apartment,"₦10,000,000","Wuye, Abuja",2,Apartment,"₦10,000,000.00","10,000,000.00",Wuye
detached duplex,"₦20,000,000","Wuye District, Wuye, Abuja",4,Duplex,"₦20,000,000.00","20,000,000.00",Wuye
terraced duplex,"₦25,000,000","Asokoro District, Abuja",4,Duplex,"₦25,000,000.00","25,000,000.00",Asokoro
detached duplex,"₦6,000,000","Lugbe District, Abuja",4,Duplex,"₦6,000,000.00","6,000,000.00",Lugbe
flat / apartment,"₦7,500,000","Mabushi, Abuja",3,Apartment,"₦7,500,000.00","7,500,000.00",Mabushi
flat / apartment,"₦9,500,000","Mabushi, Abuja",3,Apartment,"₦9,500,000.00","9,500,000.00",Mabushi
terraced duplex,"₦15,000,000","Life Camp, Abuja",4,Duplex,"₦15,000,000.00","15,000,000.00",Life Camp
terraced duplex,"₦6,500,000","Lokogoma District, Abuja",3,Duplex,"₦6,500,000.00","6,500,000.00",Lokogoma
terraced duplex,"₦7,500,000","Mabushi, Abuja",3,Duplex,"₦7,500,000.00","7,500,000.00",Mabushi
flat / apartment,"₦7,500,000","By Shafa, Mabushi, Abuja",3,Apartment,"₦7,500,000.00","7,500,000.00",Mabushi
terraced duplex,"₦18,000,000","Apo, Abuja",4,Duplex,"₦18,000,000.00","18,000,000.00",Apo
flat / apartment,"₦2,200,000","FHA (F.H.A), Lugbe District, Abuja",2,Apartment,"₦2,200,000.00","2,200,000.00",Lugbe
terraced duplex,"₦15,000,000","Wuye Main, Wuye, Abuja",4,Duplex,"₦15,000,000.00","15,000,000.00",Wuye
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00","32,000,000.00",Jabi
flat / apartment,"₦75,000,000","Garki 2 District, Garki, Abuja",3,Apartment,"₦75,000,000.00","75,000,000.00",Garki
semi-detached duplex,"₦35,000,000","Katampe Extension, Katampe, Abuja",6,Duplex,"₦35,000,000.00","35,000,000.00",Katampe
terraced duplex,"₦13,000,000","Asokoro District, Abuja",3,Duplex,"₦13,000,000.00","13,000,000.00",Asokoro
semi-detached duplex,"₦40,000,000","Guzape District, Abuja",5,Duplex,"₦40,000,000.00","40,000,000.00",Guzape
flat / apartment,"₦12,000,000","Asokoro District, Abuja",2,Apartment,"₦12,000,000.00","12,000,000.00",Asokoro
flat / apartment,"$31,000","Wuse 2, Abuja",3,Apartment,"₦42,004,070.00","42,004,070.00",Wuse
semi-detached duplex,"₦30,000,000","Katampe Extension, Katampe, Abuja",6,Duplex,"₦30,000,000.00","30,000,000.00",Katampe
detached bungalow,"₦12,000,000","Asokoro Main, Asokoro District, Abuja",2,Bungalow,"₦12,000,000.00","12,000,000.00",Asokoro
semi-detached duplex,"₦35,000,000","Diplomatic Zone, Katampe Extension, Katampe, Abuja",6,Duplex,"₦35,000,000.00","35,000,000.00",Katampe
flat / apartment,"₦5,000,000","Life Camp, Abuja",3,Apartment,"₦5,000,000.00","5,000,000.00",Life Camp
terraced duplex,"₦15,000,000","Mabushi, Abuja",4,Duplex,"₦15,000,000.00","15,000,000.00",Mabushi
flat / apartment,"₦8,000,000","Opposite Los Angeles Mall, Mabushi, Abuja",3,Apartment,"₦8,000,000.00","8,000,000.00",Mabushi
terraced duplex,"₦25,000,000","Guzape District, Abuja",4,Duplex,"₦25,000,000.00","25,000,000.00",Guzape
detached duplex,"₦35,000,000","Katampe Extension, Katampe, Abuja",6,Duplex,"₦35,000,000.00","35,000,000.00",Katampe
semi-detached duplex,"₦35,000,000","Katampe Extension, Katampe, Abuja",6,Duplex,"₦35,000,000.00","35,000,000.00",Katampe
semi-detached duplex,"₦35,000,000","Katampe Extension, Katampe, Abuja",6,Duplex,"₦35,000,000.00","35,000,000.00",Katampe
detached duplex,"₦25,000,000","Guzape District, Abuja",4,Duplex,"₦25,000,000.00","25,000,000.00",Guzape
detached duplex,"₦12,000,000","Apo, Abuja",4,Duplex,"₦12,000,000.00","12,000,000.00",Apo
flat / apartment,"₦4,000,000","Lokogoma District, Abuja",3,Apartment,"₦4,000,000.00","4,000,000.00",Lokogoma
terraced duplex,"₦6,500,000","Galadimawa - Lokogoma Axis, Galadimawa, Abuja",3,Duplex,"₦6,500,000.00","6,500,000.00",Lokogoma
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00","32,000,000.00",Jabi
flat / apartment,"₦6,000,000","Wuse 2, Abuja",4,Apartment,"₦6,000,000.00","6,000,000.00",Wuse
flat / apartment,"₦6,500,000","Wuye, Abuja",3,Apartment,"₦6,500,000.00","6,500,000.00",Wuye
terraced duplex,"₦18,000,000","Opposite American International School, Durumi, Abuja",5,Duplex,"₦18,000,000.00","18,000,000.00",Durumi
terraced duplex,"₦15,000,000","Aso Radio, Katampe, Abuja",4,Duplex,"₦15,000,000.00","15,000,000.00",Katampe
detached duplex,"₦150,000,000","Asokoro District, Abuja",8,Duplex,"₦150,000,000.00","150,000,000.00",Asokoro
semi-detached duplex,"₦15,000,000","Off 3rd Avenue, Gwarinpa, Abuja",5,Duplex,"₦15,000,000.00","15,000,000.00",Gwarinpa
terraced duplex,"₦20,000,000","Wuye, Abuja",4,Duplex,"₦20,000,000.00","20,000,000.00",Wuye
semi-detached duplex,"₦25,000,000","Wuye, Abuja",4,Duplex,"₦25,000,000.00","25,000,000.00",Wuye
flat / apartment,"₦10,000,000","Kado, Abuja",3,Apartment,"₦10,000,000.00","10,000,000.00",Kado
flat / apartment,"₦4,000,000","River Park Estate, Lugbe District, Abuja",2,Apartment,"₦4,000,000.00","4,000,000.00",Lugbe
terraced duplex,"₦15,000,000","Mabushi, Abuja",4,Duplex,"₦15,000,000.00","15,000,000.00",Mabushi
detached bungalow,"₦4,000,000","River Park, Lugbe District, Abuja",2,Bungalow,"₦4,000,000.00","4,000,000.00",Lugbe
flat / apartment,"₦4,000,000","Kaura, Abuja",2,Apartment,"₦4,000,000.00","4,000,000.00",Kaura
detached duplex,"₦15,000,000","Along Mpape Road, Maitama 2, Maitama District, Abuja",4,Duplex,"₦15,000,000.00","15,000,000.00",Maitama
terraced duplex,"₦25,000,000","Diplomatic Zone, Katampe Extension, Katampe, Abuja",6,Duplex,"₦25,000,000.00","25,000,000.00",Katampe
flat / apartment,"₦12,000,000","Wuye, Abuja",2,Apartment,"₦12,000,000.00","12,000,000.00",Wuye
flat / apartment,"₦13,500,000","Durumi, Abuja",3,Apartment,"₦13,500,000.00","13,500,000.00",Durumi
terraced duplex,"₦18,000,000","Guzape District, Abuja",4,Duplex,"₦18,000,000.00","18,000,000.00",Guzape
flat / apartment,"₦35,000,000","Maitama District, Abuja",3,Apartment,"₦35,000,000.00","35,000,000.00",Maitama
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00","32,000,000.00",Jabi
terraced duplex,"₦15,000,000","Guzape District, Abuja",4,Duplex,"₦15,000,000.00","15,000,000.00",Guzape
flat / apartment,"₦10,000,000","Gilmore, Jahi, Abuja",3,Apartment,"₦10,000,000.00","10,000,000.00",Jahi
flat / apartment,"₦7,000,000","Jahi, Abuja",2,Apartment,"₦7,000,000.00","7,000,000.00",Jahi
flat / apartment,"$25,000","Main, Jabi, Abuja",3,Apartment,"₦33,874,250.00","33,874,250.00",Jabi
flat / apartment,"₦6,000,000","Katampe (Main), Katampe, Abuja",2,Apartment,"₦6,000,000.00","6,000,000.00",Katampe
mini flat (room and parlour),"₦2,300,000","5th Avenue, Gwarinpa, Abuja",1,Apartment,"₦2,300,000.00","2,300,000.00",Gwarinpa
terraced duplex,"₦70,000,000","Maitama District, Abuja",4,Duplex,"₦70,000,000.00","70,000,000.00",Maitama
flat / apartment,"₦35,000,000","Maitama Main, Maitama District, Abuja",3,Apartment,"₦35,000,000.00","35,000,000.00",Maitama
detached duplex,"₦30,000,000","Katampe Extension, Katampe, Abuja",5,Duplex,"₦30,000,000.00","30,000,000.00",Katampe
flat / apartment,"₦6,500,000","Area 8, Garki, Abuja",3,Apartment,"₦6,500,000.00","6,500,000.00",Garki
detached duplex,"₦100,000,000","Asokoro District, Abuja",5,Duplex,"₦100,000,000.00","100,000,000.00",Asokoro
mini flat (room and parlour),"₦3,500,000","Kado, Abuja",1,Apartment,"₦3,500,000.00","3,500,000.00",Kado
flat / apartment,"₦6,000,000","American International School, Durumi, Abuja",3,Apartment,"₦6,000,000.00","6,000,000.00",Durumi
flat / apartment,"₦5,000,000","Katampe (Main), Katampe, Abuja",3,Apartment,"₦5,000,000.00","5,000,000.00",Katampe
flat / apartment,"₦4,000,000","Katampe (Main), Katampe, Abuja",2,Apartment,"₦4,000,000.00","4,000,000.00",Katampe
flat / apartment,"₦5,000,000","Jahi, Abuja",2,Apartment,"₦5,000,000.00","5,000,000.00",Jahi
flat / apartment,"₦70,000,000","Jabi, Abuja",18,Apartment,"₦70,000,000.00","70,000,000.00",Jabi
flat / apartment,"₦12,000,000","Jahi, Abuja",3,Apartment,"₦12,000,000.00","12,000,000.00",Jahi
detached bungalow,"₦8,000,000","Life Camp, Abuja",3,Bungalow,"₦8,000,000.00","8,000,000.00",Life Camp
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00","32,000,000.00",Jabi
terraced duplex,"₦15,000,000","Life Camp, Abuja",4,Duplex,"₦15,000,000.00","15,000,000.00",Life Camp
detached duplex,"₦100,000,000","Guzape District, Abuja",5,Duplex,"₦100,000,000.00","100,000,000.00",Guzape
terraced duplex,"₦30,000,000","Guzape District, Abuja",4,Duplex,"₦30,000,000.00","30,000,000.00",Guzape
terraced duplex,"₦25,000,000","Guzape District, Abuja",4,Duplex,"₦25,000,000.00","25,000,000.00",Guzape
detached duplex,"₦35,000,000","Diplomatic Zone, Katampe Extension, Katampe, Abuja",5,Duplex,"₦35,000,000.00","35,000,000.00",Katampe
terraced duplex,"₦16,500,000","Diplomatic Zone, Katampe Extension, Katampe, Abuja",4,Duplex,"₦16,500,000.00","16,500,000.00",Katampe
terraced duplex,"₦15,000,000","Wuye, Abuja",5,Duplex,"₦15,000,000.00","15,000,000.00",Wuye
terraced duplex,"₦35,000,000","Maitama District, Abuja",4,Duplex,"₦35,000,000.00","35,000,000.00",Maitama
terraced duplex,"₦10,000,000","Kado, Abuja",3,Duplex,"₦10,000,000.00","10,000,000.00",Kado
flat / apartment,"₦180,000,000","Maitama District, Abuja",3,Apartment,"₦180,000,000.00","180,000,000.00",Maitama
detached duplex,"₦50,000,000","Maitama District, Abuja",5,Duplex,"₦50,000,000.00","50,000,000.00",Maitama
detached bungalow,"₦6,000,000","Katampe (Main), Katampe, Abuja",2,Bungalow,"₦6,000,000.00","6,000,000.00",Katampe
flat / apartment,"₦3,500,000","Life Camp, Abuja",2,Apartment,"₦3,500,000.00","3,500,000.00",Life Camp
flat / apartment,"₦20,000,000","Diplomatic Zone, Katampe Extension, Katampe, Abuja",2,Apartment,"₦20,000,000.00","20,000,000.00",Katampe
detached duplex,"$200,000","Maitama District, Abuja",17,Duplex,"₦270,994,000.00","270,994,000.00",Maitama
flat / apartment,"₦7,000,000","Kaura, Abuja",3,Apartment,"₦7,000,000.00","7,000,000.00",Kaura
terraced duplex,"₦15,000,000","Wuye, Abuja",4,Duplex,"₦15,000,000.00","15,000,000.00",Wuye
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00","32,000,000.00",Jabi
semi-detached duplex,"₦30,000,000","Katampe Extension, Katampe, Abuja",4,Duplex,"₦30,000,000.00","30,000,000.00",Katampe
terraced duplex,"₦15,000,000","Jabi, Abuja",4,Duplex,"₦15,000,000.00","15,000,000.00",Jabi
flat / apartment,"₦60,000,000","Wuse 2, Abuja",16,Apartment,"₦60,000,000.00","60,000,000.00",Wuse
semi-detached duplex,"₦7,000,000","By Nizamiye Hospital, Idu Industrial, Abuja",4,Duplex,"₦7,000,000.00","7,000,000.00",Idu
flat / apartment,"₦6,000,000","Before Festrut Estate, Katampe, Abuja",3,Apartment,"₦6,000,000.00","6,000,000.00",Katampe
flat / apartment,"₦6,000,000","Katampe Extension, Katampe, Abuja",3,Apartment,"₦6,000,000.00","6,000,000.00",Katampe
mini flat (room and parlour),"₦5,000,000","Asokoro District, Abuja",1,Apartment,"₦5,000,000.00","5,000,000.00",Asokoro
flat / apartment,"₦100,000,000","By Maitama Bridge, Katampe, Abuja",2,Apartment,"₦100,000,000.00","100,000,000.00",Maitama
flat / apartment,"₦4,500,000","Mabushi, Abuja",2,Apartment,"₦4,500,000.00","4,500,000.00",Mabushi
terraced duplex,"₦10,000,000","Rockvale Estate, Apo Dutse, Apo, Abuja",3,Duplex,"₦10,000,000.00","10,000,000.00",Apo
terraced duplex,"₦15,000,000","Guzape District, Abuja",4,Duplex,"₦15,000,000.00","15,000,000.00",Guzape
terraced duplex,"₦15,000,000","Guzape District, Abuja",5,Duplex,"₦15,000,000.00","15,000,000.00",Guzape
semi-detached duplex,"₦30,000,000","Guzape District, Abuja",5,Duplex,"₦30,000,000.00","30,000,000.00",Guzape
semi-detached duplex,"₦25,000,000","Guzape District, Abuja",5,Duplex,"₦25,000,000.00","25,000,000.00",Guzape
detached duplex,"₦130,000,000","Asokoro District, Abuja",6,Duplex,"₦130,000,000.00","130,000,000.00",Asokoro
terraced duplex,"₦35,000,000","Asokoro District, Abuja",5,Duplex,"₦35,000,000.00","35,000,000.00",Asokoro
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00","32,000,000.00",Jabi
terraced duplex,"₦18,000,000","Katampe Extension, Katampe, Abuja",4,Duplex,"₦18,000,000.00","18,000,000.00",Katampe
semi-detached duplex,"₦10,000,000","Mabushi, Abuja",4,Duplex,"₦10,000,000.00","10,000,000.00",Mabushi
flat / apartment,"₦7,000,000","Quarters Zone E, Apo, Abuja",3,Apartment,"₦7,000,000.00","7,000,000.00",Apo
semi-detached duplex,"₦35,000,000","Wuye, Abuja",5,Duplex,"₦35,000,000.00","35,000,000.00",Wuye
flat / apartment,"₦25,000,000","Aso-villa Residential Area, Asokoro District, Abuja",2,Apartment,"₦25,000,000.00","25,000,000.00",Asokoro
terraced duplex,"₦15,000,000","Wuye Main., Wuye, Abuja",4,Duplex,"₦15,000,000.00","15,000,000.00",Wuye
flat / apartment,"₦8,000,000","Kaura, Abuja",3,Apartment,"₦8,000,000.00","8,000,000.00",Kaura
terraced duplex,"₦14,000,000","By Next Cash N Carry, Kado, Abuja",4,Duplex,"₦14,000,000.00","14,000,000.00",Kado
flat / apartment,"₦5,000,000","By Berger Clinic, Life Camp, Abuja",2,Apartment,"₦5,000,000.00","5,000,000.00",Life Camp
detached duplex,"₦16,000,000","Efab Metropolis, Gwarinpa, Abuja",7,Duplex,"₦16,000,000.00","16,000,000.00",Gwarinpa
semi-detached duplex,"₦35,000,000","Maitama District, Abuja",4,Duplex,"₦35,000,000.00","35,000,000.00",Maitama
detached bungalow,"₦6,500,000","Wuye, Abuja",2,Bungalow,"₦6,500,000.00","6,500,000.00",Wuye
flat / apartment,"₦6,500,000","Golden Goose Estate, Life Camp, Abuja",3,Apartment,"₦6,500,000.00","6,500,000.00",Life Camp
flat / apartment,"₦6,000,000","Gilmore, Jahi, Abuja",2,Apartment,"₦6,000,000.00","6,000,000.00",Jahi
terraced duplex,"₦15,000,000","Diamond Fountain Estate, Life Camp, Abuja",4,Duplex,"₦15,000,000.00","15,000,000.00",Life Camp
terraced duplex,"₦25,000,000","Jabi, Abuja",5,Duplex,"₦25,000,000.00","25,000,000.00",Jabi
detached duplex,"₦35,000,000","Guzape District, Abuja",5,Duplex,"₦35,000,000.00","35,000,000.00",Guzape
terraced duplex,"₦15,000,000","Gwarinpa, Abuja",3,Duplex,"₦15,000,000.00","15,000,000.00",Gwarinpa
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00","32,000,000.00",Jabi
flat / apartment,"₦20,000,000","Katampe Extension, Katampe, Abuja",2,Apartment,"₦20,000,000.00","20,000,000.00",Katampe
flat / apartment,"₦20,000,000","Katampe Extension, Katampe, Abuja",2,Apartment,"₦20,000,000.00","20,000,000.00",Katampe
flat / apartment,"₦20,000,000","Katampe Extension, Katampe, Abuja",2,Apartment,"₦20,000,000.00","20,000,000.00",Katampe
terraced duplex,"₦10,000,000","Hillside Estate, Dawaki, Gwarinpa, Abuja",4,Duplex,"₦10,000,000.00","10,000,000.00",Gwarinpa
detached duplex,"₦100,000,000","Maitama District, Abuja",8,Duplex,"₦100,000,000.00","100,000,000.00",Maitama
terraced duplex,"₦17,000,000","Mabushi, Abuja",4,Duplex,"₦17,000,000.00","17,000,000.00",Mabushi
terraced duplex,"₦12,000,000","Mabushi, Abuja",3,Duplex,"₦12,000,000.00","12,000,000.00",Mabushi
flat / apartment,"₦160,000,000","Jabi, Abuja",3,Apartment,"₦160,000,000.00","160,000,000.00",Jabi
terraced duplex,"₦45,000,000","Off Limpopo Street, Maitama District, Abuja",5,Duplex,"₦45,000,000.00","45,000,000.00",Maitama
semi-detached duplex,"₦10,000,000","Off Ahmadu Bello Way, Mabushi, Abuja",4,Duplex,"₦10,000,000.00","10,000,000.00",Mabushi
flat / apartment,"₦8,000,000","Kaura, Abuja",3,Apartment,"₦8,000,000.00","8,000,000.00",Kaura
flat / apartment,"₦6,000,000","Katampe, Abuja",2,Apartment,"₦6,000,000.00","6,000,000.00",Katampe
terraced bungalow,"₦15,000,000","Guzape District, Abuja",4,Bungalow,"₦15,000,000.00","15,000,000.00",Guzape
flat / apartment,"₦4,500,000","River Park Estate, Lugbe District, Abuja",2,Apartment,"₦4,500,000.00","4,500,000.00",Lugbe
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00","32,000,000.00",Jabi
flat / apartment,"₦20,000,000","Katampe Extension, Katampe, Abuja",2,Apartment,"₦20,000,000.00","20,000,000.00",Katampe
flat / apartment,"₦1,800,000","Dawaki, Gwarinpa, Abuja",1,Apartment,"₦1,800,000.00","1,800,000.00",Gwarinpa
semi-detached duplex,"₦50,000,000","Wuse 2, Abuja",4,Duplex,"₦50,000,000.00","50,000,000.00",Wuse
flat / apartment,"₦18,000,000","Wuye, Abuja",2,Apartment,"₦18,000,000.00","18,000,000.00",Wuye
mini flat (room and parlour),"₦2,200,000","Life Camp, Abuja",1,Apartment,"₦2,200,000.00","2,200,000.00",Life Camp
flat / apartment,"₦5,000,000","Mabushi, Abuja",2,Apartment,"₦5,000,000.00","5,000,000.00",Mabushi
flat / apartment,"₦60,000,000","Gilmore, Jahi, Abuja",3,Apartment,"₦60,000,000.00","60,000,000.00",Jahi
detached duplex,"₦80,000,000","Serene Neighborhood, Guzape District, Abuja",5,Duplex,"₦80,000,000.00","80,000,000.00",Guzape
flat / apartment,"₦27,000,000","Garki, Abuja",2,Apartment,"₦27,000,000.00","27,000,000.00",Garki
detached duplex,"₦15,000,000","Life Camp, Abuja",4,Duplex,"₦15,000,000.00","15,000,000.00",Life Camp
detached duplex,"₦100,000,000","Guzape District, Abuja",5,Duplex,"₦100,000,000.00","100,000,000.00",Guzape
flat / apartment,"₦20,000,000","Maitama District, Abuja",3,Apartment,"₦20,000,000.00","20,000,000.00",Maitama
terraced duplex,"₦8,000,000","Idu Industrial, Abuja",5,Duplex,"₦8,000,000.00","8,000,000.00",Idu
semi-detached duplex,"₦20,000,000","Main, Guzape District, Abuja",5,Duplex,"₦20,000,000.00","20,000,000.00",Guzape
flat / apartment,"₦6,000,000","Near Games Village Estate, Kaura, Abuja",3,Apartment,"₦6,000,000.00","6,000,000.00",Kaura
mini flat (room and parlour),"₦3,000,000","Dawaki News Engineering, Gwarinpa, Abuja",1,Apartment,"₦3,000,000.00","3,000,000.00",Gwarinpa
semi-detached duplex,"₦13,000,000","3rd Avenue, Gwarinpa, Abuja",4,Duplex,"₦13,000,000.00","13,000,000.00",Gwarinpa
semi-detached duplex,"₦32,000,000","Olu Awotesu Street, Jabi, Abuja",3,Duplex,"₦32,000,000.00","32,000,000.00",Jabi
flat / apartment,"₦5,000,000","Zone 2, Wuse, Abuja",2,Apartment,"₦5,000,000.00","5,000,000.00",Wuse
detached bungalow,"₦3,000,000","Behind Fha Sauka New Site Estate, Lugbe District, Abuja",4,Bungalow,"₦3,000,000.00","3,000,000.00",Lugbe
flat / apartment,"₦7,500,000","Naf Valley Estate, Asokoro District, Abuja",3,Apartment,"₦7,500,000.00","7,500,000.00",Asokoro
flat / apartment,"₦4,000,000","By Summit Bible Church, Kaura, Abuja",2,Apartment,"₦4,000,000.00","4,000,000.00",Kaura
detached duplex,"₦70,000,000","Off Amazon, Maitama District, Abuja",5,Duplex,"₦70,000,000.00","70,000,000.00",Maitama
flat / apartment,"₦15,000,000","Jahi, Abuja",3,Apartment,"₦15,000,000.00","15,000,000.00",Jahi
terraced duplex,"₦15,000,000","Wuye Main, Wuye, Abuja",4,Duplex,"₦15,000,000.00","15,000,000.00",Wuye
semi-detached duplex,"₦7,000,000","Life Camp, Abuja",4,Duplex,"₦7,000,000.00","7,000,000.00",Life Camp
flat / apartment,"₦6,500,000","Close To Whyte Scape Apartments, Life Camp, Abuja",2,Apartment,"₦6,500,000.00","6,500,000.00",Life Camp
mini flat (room and parlour),"₦3,500,000","Main Utako, Utako, Abuja",1,Apartment,"₦3,500,000.00","3,500,000.00",Utako
