,Price,Location,Bedrooms(s),Property Type,Property Category,District,Price_Cleaned,Price(Converted_to_naira),Price(Float)
374,"₦ 150,000,000/year",Aso Drive Asokoro Abuja,5,Detached Duplex+bq,Duplex,Asokoro,"₦ 150,000,000","₦150,000,000.00",150000000.0
375,"₦ 1,000,000/year",Gwarinpa Gwarinpa Abuja,,Room Self Contain,Apartment,Gwarinpa,"₦ 1,000,000","₦1,000,000.00",1000000.0
376,"₦ 9,000,000/year",Fha Guzape Abuja,3,Newly Built Flat,Apartment,Guzape,"₦ 9,000,000","₦9,000,000.00",9000000.0
377,"₦ 7,000,000/year",Guzape Abuja,2,Standard Flat,Apartment,Guzape,"₦ 7,000,000","₦7,000,000.00",7000000.0
378,"₦ 4,000,000/year",Wuye Wuye Abuja,1,Flat,Apartment,Wuye,"₦ 4,000,000","₦4,000,000.00",4000000.0
379,"₦ 8,000,000/year",Katampe Main By Nicon Katampe Main Abuja,3,Luxury Flat+bq,Apartment,Katampe,"₦ 8,000,000","₦8,000,000.00",8000000.0
380,"₦ 15,000,000/year","Proximity To Stella Maris, Life Camp Abuja",4,Luxury Finished Terraced Duplex With Bq,Duplex,Life Camp,"₦ 15,000,000","₦15,000,000.00",15000000.0
381,"₦ 20,000,000/year",Guzape Abuja,5,Terrace Duplex With Bq,Duplex,Guzape,"₦ 20,000,000","₦20,000,000.00",20000000.0
382,"₦ 30,000,000/year",Guzape Abuja,5,Semi Detached Duplex,Duplex,Guzape,"₦ 30,000,000","₦30,000,000.00",30000000.0
383,"₦ 30,000,000/year",Maitama Abuja,4,Terrace Duplex+bq,Duplex,Maitama,"₦ 30,000,000","₦30,000,000.00",30000000.0
384,"₦ 18,000,000/year",Guzape Guzape Abuja,4,Terrace +bq,Duplex,Guzape,"₦ 18,000,000","₦18,000,000.00",18000000.0
385,"₦ 12,000,000/year",Guzape Abuja,4,Terraced Duplex With Bq,Duplex,Guzape,"₦ 12,000,000","₦12,000,000.00",12000000.0
386,"₦ 5,000,000/year",Asokoro Abuja,1,Spacious Flat,Apartment,Asokoro,"₦ 5,000,000","₦5,000,000.00",5000000.0
388,"₦ 12,000,000/year",Guzape Abuja,4,Terrace Duplex,Duplex,Guzape,"₦ 12,000,000","₦12,000,000.00",12000000.0
389,"₦ 15,000,000/year",Mabushi Abuja,4,Terrace Duplex With Bq,Duplex,Mabushi,"₦ 15,000,000","₦15,000,000.00",15000000.0
390,"₦ 15,000,000/year",Guzape Guzape Abuja,3,Newly Built Flat With A Bq,Apartment,Guzape,"₦ 15,000,000","₦15,000,000.00",15000000.0
391,"₦ 1,500,000/year",Gwarinpa Extension Gwarinpa Abuja,,Spacious Self Contain,,Gwarinpa,"₦ 1,500,000","₦1,500,000.00",1500000.0
392,"₦ 4,000,000/year",Close To Prince And Princess Kaura Kaura (games Village) Abuja,2,Newly Built Flat,Apartment,Kaura,"₦ 4,000,000","₦4,000,000.00",4000000.0
393,"₦ 10,000,000/year",Navy Estate Asokoro Abuja,2,Flat,Apartment,Asokoro,"₦ 10,000,000","₦10,000,000.00",10000000.0
394,"₦ 5,000,000/year",Before Paradise Estate Lifecamp Life Camp Abuja,2,Standard Flat,Apartment,Life Camp,"₦ 5,000,000","₦5,000,000.00",5000000.0
395,"₦ 2,500,000/year",Wuse 2 Abuja,,Office Space,,Wuse,"₦ 2,500,000","₦2,500,000.00",2500000.0
396,"₦ 15,000,000/year",Maitama Maitama Abuja,3,Magnificent Flat,Apartment,Maitama,"₦ 15,000,000","₦15,000,000.00",15000000.0
397,"₦ 7,000,000/year",Katampe Main Katampe Abuja,2,Newly Built Flat,Apartment,Katampe,"₦ 7,000,000","₦7,000,000.00",7000000.0
398,"₦ 4,500,000/year",Wuse Zone 5 Wuse 1 Abuja,,Shop/office Space,,Wuse,"₦ 4,500,000","₦4,500,000.00",4500000.0
399,"₦ 3,960,000/year",Wuse 2 Wuse 2 Abuja,,Office Space,,Wuse,"₦ 3,960,000","₦3,960,000.00",3960000.0
400,"₦ 15,000,000/year",Guzape Guzape Abuja,4,Newly Built Terrace Duplex+bq,Duplex,Guzape,"₦ 15,000,000","₦15,000,000.00",15000000.0
401,"₦ 8,000,000/year",Jahi Jahi Abuja,3,Newly Built Flat,Apartment,Jahi,"₦ 8,000,000","₦8,000,000.00",8000000.0
402,"₦ 2,500,000/year",Asokoro Abuja,,Spacious Room Self Contained,Apartment,Asokoro,"₦ 2,500,000","₦2,500,000.00",2500000.0
403,"₦ 6,500,000/year",Naf Valley Estate Asokoro Asokoro Abuja,1,Newly Finished Flat,Apartment,Asokoro,"₦ 6,500,000","₦6,500,000.00",6500000.0
404,"₦ 7,000,000/year",Guzape Abuja,2,Flat,Apartment,Guzape,"₦ 7,000,000","₦7,000,000.00",7000000.0
405,"₦ 8,000,000/year",Mabushi Mabushi Abuja,3,Newly Built Flat,Apartment,Mabushi,"₦ 8,000,000","₦8,000,000.00",8000000.0
406,"₦ 4,500,000/year",Wuye Wuye Abuja,1,Flat,Apartment,Wuye,"₦ 4,500,000","₦4,500,000.00",4500000.0
407,"₦ 20,000,000/year",Gwarinpa Gwarinpa Abuja,4,Newly Built Terrace Duplex+bq,Duplex,Gwarinpa,"₦ 20,000,000","₦20,000,000.00",20000000.0
409,"₦ 7,000,000/year",Wuse2 Wuse 2 Abuja,,Strategically Located Shop/office Space,,Wuse,"₦ 7,000,000","₦7,000,000.00",7000000.0
410,"₦ 7,000,000/year",Maitama Maitama Abuja,2,Flat,Apartment,Maitama,"₦ 7,000,000","₦7,000,000.00",7000000.0
411,"₦ 1,200,000/year",Gwarinpa Gwarinpa Abuja,,Self Contain,,Gwarinpa,"₦ 1,200,000","₦1,200,000.00",1200000.0
412,"₦ 30,000,000/year",Asokoro Extension Asokoro Abuja,6,Detached Duplex+bq,Duplex,Asokoro,"₦ 30,000,000","₦30,000,000.00",30000000.0
413,"₦ 1,500,000/year",Gwarinpa Gwarinpa Abuja,,Spacious Self Contain,,Gwarinpa,"₦ 1,500,000","₦1,500,000.00",1500000.0
415,"₦ 70,000,000/year",Asokoro Abuja,9,Magnificent Duplex,Duplex,Asokoro,"₦ 70,000,000","₦70,000,000.00",70000000.0
416,"₦ 2,500,000/year",Gwarinpa Abuja,1,Flat,Apartment,Gwarinpa,"₦ 2,500,000","₦2,500,000.00",2500000.0
418,"₦ 5,000,000/year",Guzape Guzape Abuja,,Shop/office Space,,Guzape,"₦ 5,000,000","₦5,000,000.00",5000000.0
419,"₦ 15,000,000/year",Guzape Abuja,4,Terrace Duplex With Bq,Duplex,Guzape,"₦ 15,000,000","₦15,000,000.00",15000000.0
420,"₦ 10,000,000/year",Guzape Guzape Abuja,5,Terrace Duplex,Duplex,Guzape,"₦ 10,000,000","₦10,000,000.00",10000000.0
422,"₦ 8,000,000/year",Lifecamp Life Camp Abuja,4,Msgnificent Duplex,Duplex,Life Camp,"₦ 8,000,000","₦8,000,000.00",8000000.0
423,"₦ 2,500,000/year",Wuse Zone6 Wuse 1 Abuja,1,Beautiful Flat,Apartment,Wuse,"₦ 2,500,000","₦2,500,000.00",2500000.0
424,"₦ 8,000,000/year",Guzape Guzape Abuja,3,Spacious Flat,Apartment,Guzape,"₦ 8,000,000","₦8,000,000.00",8000000.0
426,"₦ 1,500,000/year",Mabglobal Estate Gwarinpa Extension Gwarinpa Abuja,,Spacious Self Contain,,Gwarinpa,"₦ 1,500,000","₦1,500,000.00",1500000.0
427,"₦ 8,500,000/year",Mabushi Mabushi Abuja,3,Flat,Apartment,Mabushi,"₦ 8,500,000","₦8,500,000.00",8500000.0
428,"₦ 1,300,000/year",Gwarinpa Abuja,,Room Self Contained,Apartment,Gwarinpa,"₦ 1,300,000","₦1,300,000.00",1300000.0
430,"₦ 1,500,000/year",Gwarinpa Abuja,,Standard Self Contained,,Gwarinpa,"₦ 1,500,000","₦1,500,000.00",1500000.0
431,"₦ 1,500,000/year",Gwarinpa Gwarinpa Abuja,,Newly Renovated Self Contain,,Gwarinpa,"₦ 1,500,000","₦1,500,000.00",1500000.0
432,"₦ 6,000,000/year","After Berger Clinic, Life Camp Abuja",2,Beautiful Flat,Apartment,Life Camp,"₦ 6,000,000","₦6,000,000.00",6000000.0
433,"₦ 1,700,000/year",Gwarinpa Gwarinpa Abuja,,Newly Renovated Self Contain,,Gwarinpa,"₦ 1,700,000","₦1,700,000.00",1700000.0
434,"₦ 100,000,000/year",Asokoro Main Asokoro Abuja,7,Detached Duplex,Duplex,Asokoro,"₦ 100,000,000","₦100,000,000.00",100000000.0
435,"₦ 1,300,000/year","Efab Metropolis Gwarinpa Extension, Gwarinpa Abuja",,A Room Self Contained,Apartment,Gwarinpa,"₦ 1,300,000","₦1,300,000.00",1300000.0
436,"₦ 30,000,000/year",Legislative's Quarter Apo Abuja,5,Semi Detached Duplex,Duplex,Apo,"₦ 30,000,000","₦30,000,000.00",30000000.0
437,"₦ 7,000,000/year",Maitama Abuja,2,Self Serviced 2bedroom Flat,Apartment,Maitama,"₦ 7,000,000","₦7,000,000.00",7000000.0
438,"₦ 25,000,000/year",Maitama Abuja,4,Serviced Detached Duplex With Bq,Duplex,Maitama,"₦ 25,000,000","₦25,000,000.00",25000000.0
439,"₦ 30,000,000/year",Katampe Main Abuja,4,Furnished Terrace Duplex With Bq,Duplex,Katampe,"₦ 30,000,000","₦30,000,000.00",30000000.0
440,"₦ 8,000,000/year",Gilmore Jahi Abuja,3,Serviced & Spacious 3bedroom Flat,Apartment,Jahi,"₦ 8,000,000","₦8,000,000.00",8000000.0
441,"₦ 5,000,000/year",Aso Radio Katampe Main Abuja,3,Flat,Apartment,Katampe,"₦ 5,000,000","₦5,000,000.00",5000000.0
442,"₦ 20,000,000/year",Katampe Extension Katampe Abuja,5,Detached Duplex,Duplex,Katampe,"₦ 20,000,000","₦20,000,000.00",20000000.0
443,"₦ 7,000,000/year",Durumi Abuja,3,Serviced 3bedroom Flat (upstairs),Apartment,Durumi,"₦ 7,000,000","₦7,000,000.00",7000000.0
444,"₦ 19,000,000/year",Maitama Abuja,3,Serviced & Spacious 3bedroom Flat (quiet Environment),Apartment,Maitama,"₦ 19,000,000","₦19,000,000.00",19000000.0
445,"₦ 250,000/sqm",Wuse 2 Abuja,198,Newly Built Office Building Measuring 198sqm,,Wuse,"₦ 250,000","₦250,000.00",250000.0
446,"₦ 15,000,000/year",Life Camp Abuja,4,Terrace Duplex,Duplex,Life Camp,"₦ 15,000,000","₦15,000,000.00",15000000.0
447,"₦ 17,000,000/year",Guzape Abuja,4,Terrace Duplex With Bq,Duplex,Guzape,"₦ 17,000,000","₦17,000,000.00",17000000.0
448,"₦ 15,000,000/year","Jabi District By Lake, Jabi Abuja",2,Furnished Flat,Apartment,Jabi,"₦ 15,000,000","₦15,000,000.00",15000000.0
449,"₦ 6,500,000",6th Gwarinpa Gwarinpa Abuja,3,s Bungalow,Bungalow,Gwarinpa,"₦ 6,500,000","₦6,500,000.00",6500000.0
451,"₦ 3,800,000",Durumi By Stella Marris Durumi Abuja,2,s Flat,Apartment,Durumi,"₦ 3,800,000","₦3,800,000.00",3800000.0
452,"₦ 1,300,000",Opposite Gwarinpa Dawaki Abuja,,Self Contained,,Gwarinpa,"₦ 1,300,000","₦1,300,000.00",1300000.0
453,"₦ 15,000,000",Mabushi Mabushi Abuja,4,New s Terrace Duplex With Bq,Duplex,Mabushi,"₦ 15,000,000","₦15,000,000.00",15000000.0
455,"₦ 20,000,000/year",Gwarinpa Abuja,5,Newly Built Fully Detached Duplex With Pool,Duplex,Gwarinpa,"₦ 20,000,000","₦20,000,000.00",20000000.0
456,"₦ 19,000,000",Maitama Main Maitama Abuja,3,3bedroom Flat To Let In Maitama,Apartment,Maitama,"₦ 19,000,000","₦19,000,000.00",19000000.0
457,"₦ 40,000,000/year",Wuse 2 Wuse 2 Abuja,3,Flat To Let In Wuse 2,Apartment,Wuse,"₦ 40,000,000","₦40,000,000.00",40000000.0
459,"₦ 20,000,000/year",Maitama Maitama Abuja,2,Furnished & Serviced Flat To Let In Maitama,Apartment,Maitama,"₦ 20,000,000","₦20,000,000.00",20000000.0
460,"₦ 8,000,000/year",Overlooking Suncity Estate Kaura (games Village) Abuja,3,Flat To Let In Kaura,Apartment,Kaura,"₦ 8,000,000","₦8,000,000.00",8000000.0
461,"₦ 800,000/year",1st Transformer Dogongada Behind Efab Estate Lokogoma Abuja,,New Self Contained Room To Let In Dogongada,Apartment,Lokogoma,"₦ 800,000","₦800,000.00",800000.0
462,"₦ 9,000,000",American International School Durumi Abuja,3,New 3bedroom Flat To Let In Durumi,Apartment,Durumi,"₦ 9,000,000","₦9,000,000.00",9000000.0
463,"₦ 25,000,000/year",Off Alvan Ikeokwu Maitama Abuja,6,6 Units Of Duplex To Let In Maitama,Duplex,Maitama,"₦ 25,000,000","₦25,000,000.00",25000000.0
464,"₦ 8,000,000",Vio Mabushi Abuja,3,3bedroom Flat To Let In Mabushi,Apartment,Mabushi,"₦ 8,000,000","₦8,000,000.00",8000000.0
465,"₦ 7,000,000/year",In An Estate Close To Godab Lifecamp Life Camp Abuja,4,Well Finished Semi Detached Duplex,Duplex,Life Camp,"₦ 7,000,000","₦7,000,000.00",7000000.0
466,"₦ 4,500,000/year",In An Estate Lifecamp Life Camp Abuja,2,Flat,Apartment,Life Camp,"₦ 4,500,000","₦4,500,000.00",4500000.0
467,"₦ 6,000,000/year",Before Paradise Estate 1 Estate Life Camp Abuja,2,Furnished Flat,Apartment,Life Camp,"₦ 6,000,000","₦6,000,000.00",6000000.0
468,"₦ 15,000,000/year",By Catholic Church Life Camp Abuja,4,Terrace Duplex With Bq,Duplex,Life Camp,"₦ 15,000,000","₦15,000,000.00",15000000.0
469,"₦ 5,000,000/year",Jahi By Aduvie Jahi Abuja,2,Newly Built Flat,Apartment,Jahi,"₦ 5,000,000","₦5,000,000.00",5000000.0
470,"₦ 18,000,000/year",In An Estate Lifecamp Life Camp Abuja,4,Newly Built Terraced Duplex With Bq,Duplex,Life Camp,"₦ 18,000,000","₦18,000,000.00",18000000.0
472,"₦ 6,500,000/year","Gwarinpa Extension, Gwarinpa Abuja",3,Newly Built Terrace Duplex,Duplex,Gwarinpa,"₦ 6,500,000","₦6,500,000.00",6500000.0
474,"₦ 7,000,000/year",In An Estate Close To Godab Lifecamp Life Camp Abuja,4,Semi Detached Duplex,Duplex,Life Camp,"₦ 7,000,000","₦7,000,000.00",7000000.0
475,"₦ 6,000,000/year",Whyte Scape Apartment Lifecamp Life Camp Abuja,3,Newly Built Flat,Apartment,Life Camp,"₦ 6,000,000","₦6,000,000.00",6000000.0
476,"₦ 3,500,000/year",Mab Global Estate Idu Idu Abuja,2,Flat,Apartment,Idu,"₦ 3,500,000","₦3,500,000.00",3500000.0
478,"₦ 1,900,000/year",Festrut Estate Katampe Main Katampe Abuja,,Room Self Contained,Apartment,Katampe,"₦ 1,900,000","₦1,900,000.00",1900000.0
479,"₦ 25,000,000/year",Wuse 2 Abuja Wuse 2 Abuja,4,Terrace Duplex,Duplex,Wuse,"₦ 25,000,000","₦25,000,000.00",25000000.0
480,"₦ 35,000,000/year",Jabi Abuja Jabi Abuja,3,With Bq,,Jabi,"₦ 35,000,000","₦35,000,000.00",35000000.0
481,"₦ 12,000,000/year","Gilmore, Jahi Abuja",2,Furnished Flat,Apartment,Jahi,"₦ 12,000,000","₦12,000,000.00",12000000.0
482,"₦ 7,000,000/year",In An Estate Gwarinpa Gwarinpa Abuja,3,Flat,Apartment,Gwarinpa,"₦ 7,000,000","₦7,000,000.00",7000000.0
483,"₦ 12,000,000",In An Estate Gwarinpa Gwarinpa Abuja,4,Detached Duplex,Duplex,Gwarinpa,"₦ 12,000,000","₦12,000,000.00",12000000.0
484,"₦ 1,900,000/year",Festrut Estate Katampe Main Katampe Abuja,,Room Self Contained,Apartment,Katampe,"₦ 1,900,000","₦1,900,000.00",1900000.0
485,"₦ 13,000,000/year",Paradise Estate Katampe Main Abuja,2,Furnished Apartment,Apartment,Katampe,"₦ 13,000,000","₦13,000,000.00",13000000.0
486,"₦ 3,000,000/year",Life Camp Abuja,2,Flat,Apartment,Life Camp,"₦ 3,000,000","₦3,000,000.00",3000000.0
487,"₦ 4,500,000/year",In An Estate Around Godab Lifecamp Life Camp Abuja,2,Flat,Apartment,Life Camp,"₦ 4,500,000","₦4,500,000.00",4500000.0
488,"₦ 2,800,000/year",In In An Estate Gwarinpa Extension Gwarinpa Abuja,2,Flat,Apartment,Gwarinpa,"₦ 2,800,000","₦2,800,000.00",2800000.0
489,"₦ 30,000,000/year",Wuse Zone Abuja Wuse 1 Abuja,4,Semi Detached Duplex,Duplex,Wuse,"₦ 30,000,000","₦30,000,000.00",30000000.0
490,"₦ 8,000,000/year",Life Camp Abuja,4,Newly Built Semi Detached Duplex,Duplex,Life Camp,"₦ 8,000,000","₦8,000,000.00",8000000.0
491,"₦ 7,000,000/year",In An Estate Close To Godab Lifecamp Life Camp Abuja,4,Semi Detached Duplex,Duplex,Life Camp,"₦ 7,000,000","₦7,000,000.00",7000000.0
493,"₦ 8,500,000/year",In An Estate Around Godab Life Camp Abuja,4,Newly Built Terrace Duplex With Bq,Duplex,Life Camp,"₦ 8,500,000","₦8,500,000.00",8500000.0
494,"₦ 10,000,000/year",In An Estate Around Godab Life Camp Abuja,4,Newly Built Terrace Duplex With Bq,Duplex,Life Camp,"₦ 10,000,000","₦10,000,000.00",10000000.0
495,"₦ 8,000,000/year",Gwarinpa Gwarinpa Abuja,4,Newly Built Terrace Duplex,Duplex,Gwarinpa,"₦ 8,000,000","₦8,000,000.00",8000000.0
496,"₦ 6,000,000/year",Jahi Aduvie Jahi Abuja,3,Flat,Apartment,Jahi,"₦ 6,000,000","₦6,000,000.00",6000000.0
497,"₦ 4,500,000/year",Nnpc Estate Lifecamp Life Camp Abuja,2,Flat,Apartment,Life Camp,"₦ 4,500,000","₦4,500,000.00",4500000.0
498,"₦ 3,500,000/year",In An Estate Lifecamp Life Camp Abuja,2,Flat,Apartment,Life Camp,"₦ 3,500,000","₦3,500,000.00",3500000.0
499,"₦ 1,900,000/year",Festrut Estate Katampe Main Katampe Abuja,,Room Self Contained,Apartment,Katampe,"₦ 1,900,000","₦1,900,000.00",1900000.0
500,"₦ 800,000/year",Fha Extension Lugbe Lugbe Abuja,,Self Contain Apartment,Apartment,Lugbe,"₦ 800,000","₦800,000.00",800000.0
501,"₦ 7,000,000/year","Behind Shafa, Matrix Filling Station Lugbe Abuja",5,Duplex,Duplex,Lugbe,"₦ 7,000,000","₦7,000,000.00",7000000.0
502,"₦ 6,500,000/year",Behind Dunamis Glory Dome Church Lugbe Abuja,4,Newly Built Fully Detached Duplex,Duplex,Lugbe,"₦ 6,500,000","₦6,500,000.00",6500000.0
503,"₦ 2,000,000/year",Crd Extension Lugbe Abuja,2,Apartment,Apartment,Lugbe,"₦ 2,000,000","₦2,000,000.00",2000000.0
504,"₦ 4,000,000/year","River Park Estate, Lugbe Abuja",2,Newly Built Block Of Flats,Apartment,Lugbe,"₦ 4,000,000","₦4,000,000.00",4000000.0
505,"₦ 18,000,000/year","Katampe Extension, Katampe Abuja",4,Newly Built Terraced Duplex With Bq,Duplex,Katampe,"₦ 18,000,000","₦18,000,000.00",18000000.0
506,"₦ 8,000,000/year",Pyakasa Lugbe Abuja,4,Duplex,Duplex,Lugbe,"₦ 8,000,000","₦8,000,000.00",8000000.0
507,"₦ 800,000/year",Behind Shafa Filling Station Lugbe Abuja,,Room Self Contained,Apartment,Lugbe,"₦ 800,000","₦800,000.00",800000.0
508,"₦ 700,000/year",Lugbe Abuja Lugbe Abuja,,Newly Built Self Contain Apartment,Apartment,Lugbe,"₦ 700,000","₦700,000.00",700000.0
509,"₦ 12,000,000/year",River Park Estate Lugbe Abuja,4,Penthouse With 2 Bq,Duplex,Lugbe,"₦ 12,000,000","₦12,000,000.00",12000000.0
510,"₦ 700,000/year",Peace Village Fha Lugbe Lugbe Abuja,,Room Self Contain,Apartment,Lugbe,"₦ 700,000","₦700,000.00",700000.0
511,"₦ 3,000,000/year",Beside Dunamis Glory Dome Church Lugbe Abuja,2,Block Of Flats,Apartment,Lugbe,"₦ 3,000,000","₦3,000,000.00",3000000.0
512,"₦ 2,500,000/year","Trade More Estate, Lugbe Abuja",2,Bungalow,Bungalow,Lugbe,"₦ 2,500,000","₦2,500,000.00",2500000.0
514,"₦ 6,000,000/year",Katampe Main Lugbe Abuja,2,Newly Built Apartment,Apartment,Lugbe,"₦ 6,000,000","₦6,000,000.00",6000000.0
515,"₦ 6,500,000/year",By Efab City Life Camp Abuja,3,Apartment,Apartment,Life Camp,"₦ 6,500,000","₦6,500,000.00",6500000.0
516,"₦ 11,000,000/year",Kado Abuja,4,Newly Built Terrace Duplex With Bq,Duplex,Kado,"₦ 11,000,000","₦11,000,000.00",11000000.0
517,"₦ 4,500,000/year",Aso Estate Lugbe Lugbe Abuja,3,Standard Block Of Flats,Apartment,Lugbe,"₦ 4,500,000","₦4,500,000.00",4500000.0
518,"₦ 2,500,000/year",Fha Lugbe Abuja,2,Block Of Flats,Apartment,Lugbe,"₦ 2,500,000","₦2,500,000.00",2500000.0
519,"₦ 1,500,000/year","Behind Shafa/matrix Airport Road, Lugbe Abuja",1,Sharp Block Of Flats,Apartment,Lugbe,"₦ 1,500,000","₦1,500,000.00",1500000.0
520,"₦ 90,000,000/year",Beside Dunamis Glory Dome Church Lugbe Abuja,18,Newly Built 18 Units Of,,Lugbe,"₦ 90,000,000","₦90,000,000.00",90000000.0
521,"₦ 3,500,000/year",Shafa Filling Station Lugbe Lugbe Abuja,2,Block Of Flats,Apartment,Lugbe,"₦ 3,500,000","₦3,500,000.00",3500000.0
522,"₦ 5,000,000/year",River Park Estate Lugbe Abuja,2,Block Of Flats,Apartment,Lugbe,"₦ 5,000,000","₦5,000,000.00",5000000.0
523,"₦ 2,500,000/year",Beside Dunamis Glory Dome Church Lugbe Abuja,2,Newly Built Block Of Flats,Apartment,Lugbe,"₦ 2,500,000","₦2,500,000.00",2500000.0
524,"₦ 2,800,000/year",Fha Lugbe Abuja,2,Block Of Flats,Apartment,Lugbe,"₦ 2,800,000","₦2,800,000.00",2800000.0
525,"₦ 2,500,000/year",Fha Lugbe Behind Amac Market Lugbe Abuja,2,Block Of Flats,Apartment,Lugbe,"₦ 2,500,000","₦2,500,000.00",2500000.0
526,"₦ 6,000,000/year",Von Garden Estate Lugbe Abuja,3,Fully Detached Duplex With Bq,Duplex,Lugbe,"₦ 6,000,000","₦6,000,000.00",6000000.0
527,"₦ 2,000,000/year",River Park Estate Lugbe Abuja,,Newly Built Self Contain Apartment,Apartment,Lugbe,"₦ 2,000,000","₦2,000,000.00",2000000.0
528,"₦ 6,000,000/year",Nut Axis Sabon Lugbe Lugbe Abuja,4,Newly Built Duplex,Duplex,Lugbe,"₦ 6,000,000","₦6,000,000.00",6000000.0
529,"₦ 4,000,000/year",Behind Shafa Filling Station Lugbe Abuja,3,Block Of Flats,Apartment,Lugbe,"₦ 4,000,000","₦4,000,000.00",4000000.0
530,"₦ 3,500,000/year",Beside Dunamis Glory Dome Church Lugbe Abuja,3,Newly Built Block Of Flats,Apartment,Lugbe,"₦ 3,500,000","₦3,500,000.00",3500000.0
531,"₦ 3,500,000/year","Pyakasa, Lugbe Abuja",2,Sharp Apartment,Apartment,Lugbe,"₦ 3,500,000","₦3,500,000.00",3500000.0
532,"₦ 6,500,000/year","After Cedre Crest Hospital, Apo Dutse Abuja",4,Standard Semi Detached Duplex With Gate House,Duplex,Apo,"₦ 6,500,000","₦6,500,000.00",6500000.0
533,"₦ 2,500,000/year",Close To Prince And Princess Estate Kaura (games Village) Abuja,1,Apartment,Apartment,Kaura,"₦ 2,500,000","₦2,500,000.00",2500000.0
535,"₦ 2,500,000",Estate Close To Lokogoma Junction Lokogoma Abuja,,Newly Built One Bedroom In Lokogoma,Apartment,Lokogoma,"₦ 2,500,000","₦2,500,000.00",2500000.0
536,"₦ 16,000,000/year",Guzape Abuja,4,Terrace Duplex With Bq,Duplex,Guzape,"₦ 16,000,000","₦16,000,000.00",16000000.0
537,"₦ 10,000,000/year",Diplomatic Zone Guzape Abuja,4,Terrace Duplex With Bq,Duplex,Guzape,"₦ 10,000,000","₦10,000,000.00",10000000.0
538,"$ 20,000/year","Guzape Abuja Diplomatic Zone, Guzape Abuja",4,Terraced Duplex,Duplex,Guzape,"$ 20,000","₦27,099,400.00",27099400.0
539,"₦ 13,000,000/year",Guzape Abuja Diplomatic Zone Guzape Abuja,4,Terrace Duplex,Duplex,Guzape,"₦ 13,000,000","₦13,000,000.00",13000000.0
540,"₦ 15,000,000/year",Asokoro Abuja Diplomatic Zone Asokoro Abuja,3,World Best Terrace Duplex With 1 Room Bq,Duplex,Asokoro,"₦ 15,000,000","₦15,000,000.00",15000000.0
541,"₦ 17,000,000/year",Diplomatic Zone Asokoro Abuja,4,Terrace Duplex With Bq,Duplex,Asokoro,"₦ 17,000,000","₦17,000,000.00",17000000.0
542,"₦ 19,000,000/year","Diplomatic Zone, Asokoro Abuja",4,Detached Duplex With Bq,Duplex,Asokoro,"₦ 19,000,000","₦19,000,000.00",19000000.0
543,"₦ 28,000,000/year","Area 11 ,garki Diplomatic Zone Garki 2 Abuja",2,Block Of Flat,Apartment,Garki,"₦ 28,000,000","₦28,000,000.00",28000000.0
544,"$ 25,000/year","Maitama Abuja Diplomatic, Maitama Abuja",3,Flat,Apartment,Maitama,"$ 25,000","₦33,874,250.00",33874250.0
545,"₦ 120,000,000/year",Diplomatic Zone Guzape Abuja,7,7 Units Of Terrace Duplex With Bq,Duplex,Guzape,"₦ 120,000,000","₦120,000,000.00",120000000.0
546,"₦ 25,000,000/year",Diplomatic Zone Guzape Abuja,5,Detached Duplex,Duplex,Guzape,"₦ 25,000,000","₦25,000,000.00",25000000.0
547,"₦ 50,000,000/year",Diplomatic Zone Asokoro Abuja,4,Terrace Duplex With Bq,Duplex,Asokoro,"₦ 50,000,000","₦50,000,000.00",50000000.0
548,"₦ 60,000,000/year",Asokoro Abuja,8,Detached Duplex,Duplex,Asokoro,"₦ 60,000,000","₦60,000,000.00",60000000.0
549,"₦ 25,000,000/year",Asokoro Abuja Diplomatic Zone Asokoro Abuja,4,Detached Duplex With 3room Bq,Duplex,Asokoro,"₦ 25,000,000","₦25,000,000.00",25000000.0
550,"₦ 150,000,000/year","Area 11 ,diplomatic Zone Garki 2 Abuja",6,6 Units Of Apartment,Apartment,Garki,"₦ 150,000,000","₦150,000,000.00",150000000.0
551,"₦ 15,000,000/year",Guzape Abuja Diplomatic Zone Guzape Abuja,4,Terrace Duplex,Duplex,Guzape,"₦ 15,000,000","₦15,000,000.00",15000000.0
552,"₦ 25,000,000/year",Guzape Abuja Diplomatic Zone Guzape Abuja,4,Terrace Duplex,Duplex,Guzape,"₦ 25,000,000","₦25,000,000.00",25000000.0
553,"₦ 65,000,000/year","Diplomatic Zone, Maitama Abuja",4,Newly Renovated Detached Duplex With Bq,Duplex,Maitama,"₦ 65,000,000","₦65,000,000.00",65000000.0
554,"$ 30,000/year",Diplomatic Zone Asokoro Abuja,3,Furnished Block Of Flat,Apartment,Asokoro,"$ 30,000","₦40,649,100.00",40649100.0
555,"₦ 1,700,000,000",Diplomatic Zone Katampe Abuja,5,Detached Duplex With Elevator + Cinema,Duplex,Katampe,"₦ 1,700,000,000","₦1,700,000,000.00",1700000000.0
556,"$ 27,000/year","Diplomatic Zone, Jabi Abuja",2,Flat,Apartment,Jabi,"$ 27,000","₦36,584,190.00",36584190.0
557,"₦ 11,500,000/year","Life Camp Abuja Diplomatic Zone, Life Camp Abuja",4,Terraced Duplex,Duplex,Life Camp,"₦ 11,500,000","₦11,500,000.00",11500000.0
